update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,52.0,,
5,9600,42.0,0.0,0.0
10,17600,49.0,0.0,
15,25600,52.0,0.0,
20,33600,53.0,0.0,
25,41600,54.0,0.0,
30,49600,51.0,0.0,0.0
35,57600,51.0,0.0,
40,65600,51.0,0.0,
45,73600,50.0,0.0,
50,81600,50.0,0.0,
55,89600,48.0,0.0,0.0
60,97600,47.0,0.0,
65,105600,47.0,0.0,
70,113600,47.0,0.0,
75,121600,47.0,0.0,
80,129600,47.0,0.0,0.0
85,137600,47.0,0.0,
90,145600,47.0,0.0,
95,153600,48.0,0.0,
100,161600,48.0,0.0,
105,169600,47.0,0.0,0.03125
110,177600,47.0,0.005154639175257732,
115,185600,48.0,0.0,
120,193600,48.0,0.005263157894736842,
125,201600,48.0,0.010638297872340425,
130,209600,48.0,0.016042780748663103,0.03125
135,217600,48.0,0.022727272727272728,
140,225600,48.0,0.0111731843575419,
145,233600,48.0,0.027777777777777776,
150,241600,48.0,0.010582010582010581,
155,249600,48.0,0.016042780748663103,0.0625
160,257600,49.0,0.04093567251461988,
165,265600,48.0,0.058823529411764705,
170,273600,48.0,0.05,
175,281600,48.0,0.023121387283236993,
180,289600,48.0,0.09941520467836257,0.125
185,297600,48.0,0.11612903225806452,
190,305600,48.0,0.1,
195,313600,49.0,0.12804878048780488,
200,321600,49.0,0.1320754716981132,
205,329600,49.0,0.15789473684210525,0.3125
210,337600,49.0,0.1625,
215,345600,50.0,0.17575757575757575,
220,353600,50.0,0.1834319526627219,
225,361600,51.0,0.2138364779874214,
230,369600,51.0,0.17105263157894737,0.375
235,377600,51.0,0.21686746987951808,
240,385600,51.0,0.2980132450331126,
245,393600,52.0,0.24074074074074073,
250,401600,52.0,0.2012987012987013,
255,409600,52.0,0.26875,0.5
260,417600,53.0,0.27564102564102566,
265,425600,53.0,0.19875776397515527,
270,433600,53.0,0.26666666666666666,
275,441600,53.0,0.22289156626506024,
280,449600,53.0,0.24096385542168675,0.4375
285,457600,54.0,0.2534246575342466,
290,465600,54.0,0.43333333333333335,
295,473600,54.0,0.2654320987654321,
300,481600,54.0,0.29012345679012347,
305,489600,54.0,0.3509933774834437,0.46875
310,497600,55.0,0.36666666666666664,
315,505600,55.0,0.35714285714285715,
320,513600,55.0,0.24358974358974358,
325,521600,55.0,0.2802547770700637,
330,529600,55.0,0.34615384615384615,0.34375
335,537600,55.0,0.3630573248407643,
340,545600,55.0,0.38125,
345,553600,55.0,0.3496932515337423,
350,561600,55.0,0.32515337423312884,
355,569600,54.0,0.31210191082802546,0.46875
360,577600,54.0,0.33121019108280253,
365,585600,54.0,0.2727272727272727,
370,593600,54.0,0.32919254658385094,
375,601600,55.0,0.2926829268292683,
380,609600,54.0,0.32075471698113206,0.375
385,617600,54.0,0.31901840490797545,
390,625600,54.0,0.3558282208588957,
395,633600,54.0,0.2948717948717949,
400,641600,55.0,0.36363636363636365,
405,649600,55.0,0.34355828220858897,0.3125
410,657600,55.0,0.25316455696202533,
415,665600,55.0,0.32098765432098764,
420,673600,55.0,0.3006134969325153,
425,681600,55.0,0.37267080745341613,
430,689600,55.0,0.5,0.6875
435,697600,55.0,0.4161490683229814,
440,705600,55.0,0.4240506329113924,
445,713600,56.0,0.33962264150943394,
450,721600,56.0,0.40372670807453415,
455,729600,56.0,0.40625,0.65625
460,737600,56.0,0.461038961038961,
465,745600,56.0,0.46296296296296297,
470,753600,56.0,0.4489795918367347,
475,761600,56.0,0.4875,
480,769600,56.0,0.48427672955974843,0.6875
485,777600,56.0,0.45222929936305734,
490,785600,56.0,0.5099337748344371,
495,793600,56.0,0.5,
500,801600,56.0,0.4779874213836478,
505,809600,56.0,0.4966887417218543,0.5625
510,817600,56.0,0.47368421052631576,
515,825600,56.0,0.40384615384615385,
520,833600,56.0,0.48427672955974843,
525,841600,56.0,0.42948717948717946,
530,849600,56.0,0.4430379746835443,0.4375
535,857600,57.0,0.4339622641509434,
540,865600,57.0,0.5032258064516129,
545,873600,57.0,0.47435897435897434,
550,881600,57.0,0.47019867549668876,
555,889600,57.0,0.5165562913907285,0.65625
560,897600,57.0,0.5771812080536913,
565,905600,57.0,0.5789473684210527,
570,913600,57.0,0.539568345323741,
575,921600,58.0,0.5,
580,929600,58.0,0.425531914893617,0.625
585,937600,58.0,0.5031446540880503,
590,945600,58.0,0.48026315789473684,
595,953600,58.0,0.477124183006536,
600,961600,58.0,0.5328947368421053,
605,969600,58.0,0.48125,0.59375
610,977600,58.0,0.5,
615,985600,58.0,0.5705128205128205,
620,993600,59.0,0.4779874213836478,
625,1001600,59.0,0.5641025641025641,
630,1009600,58.0,0.5506329113924051,0.5625
635,1017600,58.0,0.49056603773584906,
640,1025600,58.0,0.5222929936305732,
645,1033600,59.0,0.4968553459119497,
650,1041600,59.0,0.5477707006369427,
655,1049600,59.0,0.535031847133758,0.5625
660,1057600,59.0,0.44805194805194803,
665,1065600,59.0,0.5063291139240507,
670,1073600,59.0,0.554140127388535,
675,1081600,59.0,0.6114649681528662,
680,1089600,58.0,0.5935483870967742,0.625
685,1097600,59.0,0.5,
690,1105600,59.0,0.6666666666666666,
695,1113600,59.0,0.6418918918918919,
700,1121600,59.0,0.6410256410256411,
705,1129600,59.0,0.6392405063291139,0.6875
710,1137600,59.0,0.5364238410596026,
715,1145600,59.0,0.62,
720,1153600,59.0,0.6089743589743589,
725,1161600,59.0,0.6178343949044586,
730,1169600,59.0,0.4528301886792453,0.53125
735,1177600,59.0,0.5584415584415584,
740,1185600,59.0,0.632258064516129,
745,1193600,59.0,0.5448717948717948,
750,1201600,59.0,0.5477707006369427,
755,1209600,58.0,0.5192307692307693,0.625
760,1217600,59.0,0.5125,
765,1225600,59.0,0.5796178343949044,
770,1233600,59.0,0.5063291139240507,
775,1241600,59.0,0.5220125786163522,
780,1249600,59.0,0.5298013245033113,0.75
785,1257600,59.0,0.6178343949044586,
790,1265600,59.0,0.5031446540880503,
795,1273600,59.0,0.6066666666666667,
800,1281600,59.0,0.6967741935483871,
805,1289600,59.0,0.6369426751592356,0.65625
810,1297600,59.0,0.6474358974358975,
815,1305600,59.0,0.6143790849673203,
820,1313600,59.0,0.5612903225806452,
825,1321600,59.0,0.5256410256410257,
830,1329600,59.0,0.5897435897435898,0.625
835,1337600,59.0,0.5414012738853503,
840,1345600,59.0,0.5806451612903226,
845,1353600,59.0,0.5477707006369427,
850,1361600,59.0,0.569620253164557,
855,1369600,59.0,0.6075949367088608,0.5625
860,1377600,59.0,0.5909090909090909,
865,1385600,59.0,0.6451612903225806,
870,1393600,59.0,0.6602564102564102,
875,1401600,59.0,0.6122448979591837,
880,1409600,59.0,0.6363636363636364,0.625
885,1417600,59.0,0.6114649681528662,
890,1425600,59.0,0.6624203821656051,
895,1433600,59.0,0.6923076923076923,
900,1441600,59.0,0.577922077922078,
905,1449600,59.0,0.6428571428571429,0.65625
910,1457600,59.0,0.6025641025641025,
915,1465600,59.0,0.5897435897435898,
920,1473600,59.0,0.6538461538461539,
925,1481600,59.0,0.6369426751592356,
930,1489600,59.0,0.5443037974683544,0.71875
935,1497600,59.0,0.538961038961039,
940,1505600,59.0,0.5769230769230769,
945,1513600,59.0,0.5612903225806452,
950,1521600,59.0,0.6129032258064516,
955,1529600,59.0,0.5668789808917197,0.625
960,1537600,59.0,0.5806451612903226,
965,1545600,59.0,0.567741935483871,
970,1553600,59.0,0.6025641025641025,
975,1561600,59.0,0.643312101910828,
980,1569600,59.0,0.6129032258064516,0.65625
985,1577600,59.0,0.6493506493506493,
990,1585600,59.0,0.6624203821656051,
995,1593600,59.0,0.6993464052287581,
1000,1601600,59.0,0.6818181818181818,
1005,1609600,59.0,0.6967741935483871,0.78125
1010,1617600,59.0,0.6405228758169934,
1015,1625600,59.0,0.7012987012987013,
1020,1633600,59.0,0.6114649681528662,
1025,1641600,59.0,0.5228758169934641,
1030,1649600,59.0,0.6558441558441559,0.65625
1035,1657600,59.0,0.5620915032679739,
1040,1665600,59.0,0.6225165562913907,
1045,1673600,59.0,0.6558441558441559,
1050,1681600,59.0,0.6560509554140127,
1055,1689600,59.0,0.6291390728476821,0.71875
1060,1697600,59.0,0.6410256410256411,
1065,1705600,59.0,0.7096774193548387,
1070,1713600,59.0,0.6474358974358975,
1075,1721600,59.0,0.5833333333333334,
1080,1729600,59.0,0.6818181818181818,0.8125
1085,1737600,59.0,0.6602564102564102,
1090,1745600,59.0,0.6818181818181818,
1095,1753600,59.0,0.7371794871794872,
1100,1761600,59.0,0.6903225806451613,
1105,1769600,59.0,0.6948051948051948,0.75
1110,1777600,59.0,0.7032258064516129,
1115,1785600,59.0,0.78,
1120,1793600,59.0,0.6688311688311688,
1125,1801600,59.0,0.7161290322580646,
1130,1809600,59.0,0.6516129032258065,0.84375
1135,1817600,59.0,0.6516129032258065,
1140,1825600,59.0,0.7341772151898734,
1145,1833600,58.0,0.7012987012987013,
1150,1841600,58.0,0.8013245033112583,
1155,1849600,58.0,0.7581699346405228,0.78125
1160,1857600,58.0,0.7032258064516129,
1165,1865600,58.0,0.7435897435897436,
1170,1873600,58.0,0.6601307189542484,
1175,1881600,58.0,0.7612903225806451,
1180,1889600,58.0,0.7712418300653595,0.65625
1185,1897600,58.0,0.6329113924050633,
1190,1905600,58.0,0.7581699346405228,
1195,1913600,58.0,0.7515923566878981,
1200,1921600,58.0,0.7096774193548387,
1205,1929600,58.0,0.7419354838709677,0.75
1210,1937600,58.0,0.673202614379085,
1215,1945600,58.0,0.7712418300653595,
1220,1953600,58.0,0.7161290322580646,
1225,1961600,58.0,0.6903225806451613,
1230,1969600,58.0,0.7450980392156863,0.71875
1235,1977600,58.0,0.6794871794871795,
1240,1985600,58.0,0.7532467532467533,
1245,1993600,58.0,0.7272727272727273,
1250,2001600,58.0,0.7368421052631579,
1255,2009600,58.0,0.6387096774193548,0.71875
1260,2017600,58.0,0.7077922077922078,
1265,2025600,58.0,0.7307692307692307,
1270,2033600,58.0,0.7727272727272727,
1275,2041600,58.0,0.7597402597402597,
1280,2049600,58.0,0.7189542483660131,0.65625
1285,2057600,58.0,0.7307692307692307,
1290,2065600,58.0,0.6987179487179487,
1295,2073600,58.0,0.6821192052980133,
1300,2081600,58.0,0.6858974358974359,
1305,2089600,58.0,0.6410256410256411,0.75
1310,2097600,58.0,0.6928104575163399,
1315,2105600,58.0,0.7261146496815286,
1320,2113600,58.0,0.6451612903225806,
1325,2121600,58.0,0.6346153846153846,
1330,2129600,57.0,0.6688311688311688,0.65625
1335,2137600,58.0,0.6903225806451613,
1340,2145600,58.0,0.7189542483660131,
1345,2153600,58.0,0.6835443037974683,
1350,2161600,57.0,0.6089743589743589,
1355,2169600,57.0,0.7096774193548387,0.5625
1360,2177600,57.0,0.5483870967741935,
1365,2185600,57.0,0.6217948717948718,
1370,2193600,57.0,0.6666666666666666,
1375,2201600,57.0,0.6129032258064516,
1380,2209600,57.0,0.6462585034013606,0.71875
1385,2217600,57.0,0.6139240506329114,
1390,2225600,57.0,0.6474358974358975,
1395,2233600,57.0,0.6329113924050633,
1400,2241600,57.0,0.6258064516129033,
1405,2249600,57.0,0.6451612903225806,0.625
1410,2257600,57.0,0.6217948717948718,
1415,2265600,57.0,0.6558441558441559,
1420,2273600,57.0,0.7025316455696202,
1425,2281600,57.0,0.6298701298701299,
1430,2289600,57.0,0.6496815286624203,0.6875
1435,2297600,57.0,0.7012987012987013,
1440,2305600,57.0,0.6730769230769231,
1445,2313600,57.0,0.6538461538461539,
1450,2321600,57.0,0.6687898089171974,
1455,2329600,57.0,0.7402597402597403,0.84375
1460,2337600,57.0,0.7051282051282052,
1465,2345600,57.0,0.6838709677419355,
1470,2353600,57.0,0.7272727272727273,
1475,2361600,57.0,0.7733333333333333,
1480,2369600,57.0,0.6928104575163399,0.625
1485,2377600,57.0,0.6870748299319728,
1490,2385600,57.0,0.72,
1495,2393600,57.0,0.7662337662337663,
1500,2401600,57.0,0.6883116883116883,
1505,2409600,57.0,0.7171052631578947,0.71875
1510,2417600,57.0,0.7254901960784313,
1515,2425600,57.0,0.7450980392156863,
1520,2433600,57.0,0.7581699346405228,
1525,2441600,57.0,0.7266666666666667,
1530,2449600,57.0,0.7051282051282052,0.59375
1535,2457600,57.0,0.7350993377483444,
1540,2465600,57.0,0.7843137254901961,
1545,2473600,57.0,0.7435897435897436,
1550,2481600,57.0,0.7417218543046358,
1555,2489600,57.0,0.8051948051948052,0.8125
1560,2497600,57.0,0.7973856209150327,
1565,2505600,57.0,0.7516339869281046,
1570,2513600,57.0,0.8421052631578947,
1575,2521600,57.0,0.7077922077922078,
1580,2529600,57.0,0.7354838709677419,0.6875
1585,2537600,57.0,0.7032258064516129,
1590,2545600,57.0,0.782051282051282,
1595,2553600,57.0,0.7210884353741497,
1600,2561600,57.0,0.6858974358974359,
1605,2569600,57.0,0.7548387096774194,0.78125
1610,2577600,57.0,0.6967741935483871,
1615,2585600,57.0,0.7534246575342466,
1620,2593600,57.0,0.7712418300653595,
1625,2601600,57.0,0.8129032258064516,
1630,2609600,56.0,0.7402597402597403,0.78125
1635,2617600,56.0,0.72,
1640,2625600,56.0,0.7792207792207793,
1645,2633600,56.0,0.7948717948717948,
1650,2641600,56.0,0.8205128205128205,
1655,2649600,56.0,0.8831168831168831,0.875
1660,2657600,56.0,0.8441558441558441,
1665,2665600,56.0,0.7908496732026143,
1670,2673600,56.0,0.7548387096774194,
1675,2681600,56.0,0.7354838709677419,
1680,2689600,56.0,0.7806451612903226,0.75
1685,2697600,56.0,0.8506493506493507,
1690,2705600,56.0,0.8,
1695,2713600,56.0,0.8,
1700,2721600,56.0,0.8366013071895425,
1705,2729600,56.0,0.7756410256410257,0.75
1710,2737600,56.0,0.7564102564102564,
1715,2745600,56.0,0.7597402597402597,
1720,2753600,56.0,0.8064516129032258,
1725,2761600,56.0,0.8116883116883117,
1730,2769600,56.0,0.7631578947368421,0.84375
1735,2777600,56.0,0.8193548387096774,
1740,2785600,31.0,0.8,
1745,2793600,31.0,0.7806451612903226,
1750,2801600,31.0,0.7243589743589743,
1755,2809600,31.0,0.7581699346405228,0.71875
1760,2817600,31.0,0.782051282051282,
1765,2825600,31.0,0.7612903225806451,
1770,2833600,31.0,0.7243589743589743,
1775,2841600,31.0,0.9025974025974026,
1780,2849600,31.0,0.7756410256410257,0.78125
1785,2857600,31.0,0.7948717948717948,
1790,2865600,31.0,0.7307692307692307,
1795,2873600,31.0,0.7692307692307693,
1800,2881600,31.0,0.7371794871794872,
1805,2889600,31.0,0.8,0.8125
1810,2897600,31.0,0.7612903225806451,
1815,2905600,31.0,0.7961783439490446,
1820,2913600,31.0,0.7419354838709677,
1825,2921600,31.0,0.738562091503268,
1830,2929600,31.0,0.7243589743589743,0.8125
1835,2937600,31.0,0.7261146496815286,
1840,2945600,31.0,0.6835443037974683,
1845,2953600,31.0,0.7677419354838709,
1850,2961600,31.0,0.782051282051282,
1855,2969600,31.0,0.717948717948718,0.6875
1860,2977600,31.0,0.7735849056603774,
1865,2985600,31.0,0.8235294117647058,
1870,2993600,32.0,0.7870967741935484,
1875,3001600,32.0,0.7515923566878981,
1880,3009600,32.0,0.7741935483870968,0.875
1885,3017600,32.0,0.8445945945945946,
1890,3025600,32.0,0.8064516129032258,
1895,3033600,32.0,0.8823529411764706,
1900,3041600,32.0,0.7884615384615384,
1905,3049600,32.0,0.8104575163398693,0.78125
1910,3057600,32.0,0.7677419354838709,
1915,3065600,32.0,0.8461538461538461,
1920,3073600,32.0,0.8169934640522876,
1925,3081600,32.0,0.7161290322580646,
1930,3089600,32.0,0.7515923566878981,0.65625
1935,3097600,32.0,0.7884615384615384,
1940,3105600,32.0,0.7483870967741936,
1945,3113600,32.0,0.7792207792207793,
1950,3121600,32.0,0.7261146496815286,
1955,3129600,32.0,0.6981132075471698,0.8125
1960,3137600,32.0,0.7870967741935484,
1965,3145600,32.0,0.8157894736842105,
1970,3153600,32.0,0.8387096774193549,
1975,3161600,32.0,0.7848101265822784,
1980,3169600,32.0,0.7741935483870968,0.75
1985,3177600,32.0,0.7692307692307693,
1990,3185600,32.0,0.7051282051282052,
1995,3193600,32.0,0.802547770700637,
2000,3201600,32.0,0.7784810126582279,
2005,3209600,32.0,0.802547770700637,0.71875
2010,3217600,32.0,0.8789808917197452,
2015,3225600,32.0,0.8141025641025641,
2020,3233600,33.0,0.8397435897435898,
2025,3241600,33.0,0.8506493506493507,
2030,3249600,33.0,0.810126582278481,0.8125
2035,3257600,33.0,0.8525641025641025,
2040,3265600,33.0,0.8152866242038217,
2045,3273600,33.0,0.8129032258064516,
2050,3281600,33.0,0.8311688311688312,
2055,3289600,33.0,0.8616352201257862,0.8125
2060,3297600,33.0,0.8193548387096774,
2065,3305600,33.0,0.8525641025641025,
2070,3313600,33.0,0.9038461538461539,
2075,3321600,33.0,0.8205128205128205,
2080,3329600,33.0,0.9225806451612903,0.78125
2085,3337600,33.0,0.8924050632911392,
2090,3345600,33.0,0.8831168831168831,
2095,3353600,33.0,0.8717948717948718,
2100,3361600,33.0,0.8709677419354839,
2105,3369600,33.0,0.8853503184713376,0.875
2110,3377600,33.0,0.8441558441558441,
2115,3385600,33.0,0.8616352201257862,
2120,3393600,33.0,0.7371794871794872,
2125,3401600,33.0,0.832258064516129,
2130,3409600,33.0,0.8653846153846154,0.9375
2135,3417600,33.0,0.7911392405063291,
2140,3425600,33.0,0.8506493506493507,
2145,3433600,33.0,0.8589743589743589,
2150,3441600,33.0,0.8141025641025641,
2155,3449600,33.0,0.8525641025641025,0.875
2160,3457600,33.0,0.782051282051282,
2165,3465600,33.0,0.7435897435897436,
2170,3473600,33.0,0.8598726114649682,
2175,3481600,33.0,0.7579617834394905,
2180,3489600,34.0,0.8717948717948718,0.875
2185,3497600,34.0,0.8846153846153846,
2190,3505600,34.0,0.8679245283018868,
2195,3513600,34.0,0.8910256410256411,
2200,3521600,34.0,0.8853503184713376,
2205,3529600,34.0,0.8701298701298701,0.875
2210,3537600,34.0,0.9032258064516129,
2215,3545600,34.0,0.8580645161290322,
2220,3553600,34.0,0.8853503184713376,
2225,3561600,34.0,0.8653846153846154,
2230,3569600,34.0,0.875,0.875
2235,3577600,34.0,0.8653846153846154,
2240,3585600,34.0,0.8544303797468354,
2245,3593600,34.0,0.8064516129032258,
2250,3601600,34.0,0.9090909090909091,
