update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,89.0,,
5,9600,66.0,0.0,0.0
10,17600,80.0,0.0,
15,25600,87.0,0.010178117048346057,
20,33600,91.0,0.12096774193548387,
25,41600,93.0,0.28160919540229884,
30,49600,88.0,0.4046920821114369,0.25
35,57600,92.0,0.4608433734939759,
40,65600,92.0,0.44785276073619634,
45,73600,90.0,0.46827794561933533,
50,81600,91.0,0.48466257668711654,
55,89600,90.0,0.5277777777777778,0.78125
60,97600,90.0,0.6291793313069909,
65,105600,91.0,0.5907692307692308,
70,113600,92.0,0.6132930513595166,
75,121600,94.0,0.6111111111111112,
80,129600,94.0,0.5823529411764706,0.6875
85,137600,94.0,0.6064139941690962,
90,145600,95.0,0.6374269005847953,
95,153600,95.0,0.6882352941176471,
100,161600,95.0,0.7180232558139535,
105,169600,94.0,0.7288629737609329,0.96875
110,177600,94.0,0.7426900584795322,
115,185600,95.0,0.8189655172413793,
120,193600,95.0,0.8155619596541787,
125,201600,95.0,0.7959770114942529,
130,209600,95.0,0.8284883720930233,0.96875
135,217600,95.0,0.8592375366568915,
140,225600,96.0,0.9075144508670521,
145,233600,96.0,0.8859649122807017,
150,241600,97.0,0.8858858858858859,
155,249600,96.0,0.8991097922848664,1.0
160,257600,96.0,0.9126506024096386,
165,265600,95.0,0.9404761904761905,
170,273600,95.0,0.9378698224852071,
175,281600,95.0,0.8961424332344213,
180,289600,95.0,0.9006024096385542,1.0
185,297600,95.0,0.8899082568807339,
190,305600,95.0,0.9283582089552239,
195,313600,96.0,0.8882175226586103,
200,321600,96.0,0.9613095238095238,
205,329600,96.0,0.9077380952380952,0.96875
210,337600,96.0,0.9141104294478528,
215,345600,96.0,0.918918918918919,
220,353600,97.0,0.9159159159159159,
225,361600,98.0,0.9319526627218935,
230,369600,98.0,0.9478260869565217,1.0
235,377600,98.0,0.9294117647058824,
240,385600,98.0,0.9323529411764706,
245,393600,98.0,0.9064327485380117,
250,401600,97.0,0.936046511627907,
255,409600,97.0,0.8731988472622478,1.0
260,417600,96.0,0.9,
265,425600,96.0,0.9169054441260746,
270,433600,95.0,0.9028571428571428,
275,441600,95.0,0.9226361031518625,
280,449600,95.0,0.9173789173789174,0.96875
285,457600,94.0,0.9458689458689459,
290,465600,94.0,0.9005681818181818,
295,473600,94.0,0.9346590909090909,
300,481600,94.0,0.9111747851002865,
305,489600,93.0,0.9310344827586207,1.0
310,497600,93.0,0.9171428571428571,
315,505600,93.0,0.9244186046511628,
320,513600,93.0,0.9589442815249267,
325,521600,92.0,0.9382352941176471,
330,529600,92.0,0.9117647058823529,1.0
335,537600,92.0,0.9442815249266863,
340,545600,92.0,0.9452449567723343,
345,553600,92.0,0.9771428571428571,
350,561600,92.0,0.9747899159663865,
355,569600,92.0,0.9748603351955307,1.0
360,577600,92.0,0.9802816901408451,
365,585600,92.0,0.9719887955182073,
370,593600,92.0,0.969187675070028,
375,601600,92.0,0.9611111111111111,
380,609600,91.0,0.9615384615384616,1.0
385,617600,91.0,0.9645776566757494,
390,625600,91.0,0.9619565217391305,
395,633600,91.0,0.9478021978021978,
400,641600,91.0,0.9673024523160763,
405,649600,91.0,0.9400544959128065,1.0
410,657600,91.0,0.9672131147540983,
415,665600,91.0,0.9838274932614556,
420,673600,91.0,0.9867021276595744,
425,681600,91.0,0.9785522788203753,
430,689600,91.0,0.9788359788359788,1.0
435,697600,91.0,0.9489247311827957,
440,705600,91.0,0.967654986522911,
445,713600,91.0,0.9453551912568307,
450,721600,91.0,0.9279778393351801,
455,729600,91.0,0.9567567567567568,1.0
460,737600,91.0,0.9651474530831099,
465,745600,91.0,0.9650537634408602,
470,753600,91.0,0.9459459459459459,
475,761600,91.0,0.9482288828337875,
480,769600,91.0,0.9506849315068493,0.96875
485,777600,91.0,0.9701897018970189,
490,785600,91.0,0.9754768392370572,
495,793600,91.0,0.9643835616438357,
500,801600,90.0,0.9865951742627346,
505,809600,90.0,0.9920634920634921,1.0
510,817600,90.0,0.9895561357702349,
515,825600,90.0,0.9948051948051948,
520,833600,90.0,1.0,
525,841600,90.0,0.9948453608247423,
530,849600,90.0,0.9949494949494949,1.0
535,857600,90.0,1.0,
540,865600,90.0,0.9923469387755102,
545,873600,90.0,0.9846547314578005,
550,881600,90.0,0.9923076923076923,
555,889600,89.0,0.9871794871794872,0.96875
560,897600,89.0,0.9818652849740933,
565,905600,89.0,0.9815789473684211,
570,913600,89.0,0.9842105263157894,
575,921600,89.0,0.9708994708994709,
580,929600,89.0,0.973753280839895,1.0
585,937600,89.0,0.9947643979057592,
590,945600,89.0,0.9871134020618557,
595,953600,89.0,0.9922879177377892,
600,961600,89.0,0.9923076923076923,
605,969600,89.0,0.987146529562982,1.0
610,977600,89.0,0.9766839378238342,
615,985600,89.0,0.9948453608247423,
620,993600,89.0,0.9821428571428571,
625,1001600,89.0,0.9641943734015346,
630,1009600,89.0,0.9608355091383812,1.0
635,1017600,89.0,0.9557291666666666,
640,1025600,89.0,0.9549071618037135,
645,1033600,89.0,0.9497354497354498,
650,1041600,89.0,0.9073569482288828,
655,1049600,89.0,0.9279778393351801,1.0
660,1057600,88.0,0.925414364640884,
665,1065600,88.0,0.9387186629526463,
670,1073600,88.0,0.9329608938547486,
675,1081600,88.0,0.93646408839779,
680,1089600,88.0,0.9512195121951219,1.0
685,1097600,88.0,0.9349593495934959,
690,1105600,88.0,0.9453551912568307,
695,1113600,88.0,0.953168044077135,
700,1121600,88.0,0.9293478260869565,
705,1129600,88.0,0.8986301369863013,1.0
710,1137600,88.0,0.9423076923076923,
715,1145600,88.0,0.9597855227882037,
720,1153600,88.0,0.9731903485254692,
725,1161600,88.0,0.9648648648648649,
730,1169600,88.0,0.9867021276595744,0.96875
735,1177600,88.0,0.9814323607427056,
740,1185600,88.0,0.9920844327176781,
745,1193600,88.0,0.9894459102902374,
750,1201600,88.0,0.9973753280839895,
755,1209600,88.0,0.9843342036553525,0.96875
760,1217600,88.0,0.9974424552429667,
765,1225600,88.0,0.9845758354755784,
770,1233600,88.0,0.9974554707379135,
775,1241600,88.0,0.9974811083123426,
780,1249600,87.0,0.98989898989899,1.0
785,1257600,87.0,0.9874055415617129,
790,1265600,87.0,0.9974937343358395,
795,1273600,87.0,0.98989898989899,
800,1281600,87.0,1.0,
805,1289600,87.0,1.0,1.0
810,1297600,87.0,0.992462311557789,
815,1305600,87.0,0.9897435897435898,
820,1313600,87.0,0.9974683544303797,
825,1321600,87.0,0.9974747474747475,
830,1329600,87.0,0.9949622166246851,1.0
835,1337600,87.0,0.995,
840,1345600,87.0,0.9974937343358395,
845,1353600,87.0,0.995,
850,1361600,87.0,1.0,
855,1369600,87.0,1.0,1.0
860,1377600,87.0,0.9974747474747475,
865,1385600,87.0,0.9949238578680203,
870,1393600,87.0,0.9949367088607595,
875,1401600,87.0,0.9948979591836735,
880,1409600,87.0,0.9949622166246851,1.0
885,1417600,87.0,0.9794344473007712,
890,1425600,87.0,0.9769230769230769,
895,1433600,87.0,0.9923076923076923,
900,1441600,87.0,1.0,
905,1449600,87.0,0.9820971867007673,1.0
910,1457600,87.0,0.987146529562982,
915,1465600,87.0,0.9923076923076923,
920,1473600,87.0,0.9949109414758269,
925,1481600,86.0,0.9923664122137404,
930,1489600,86.0,1.0,1.0
935,1497600,86.0,0.9898477157360406,
940,1505600,86.0,0.9924050632911392,
945,1513600,86.0,1.0,
950,1521600,86.0,1.0,
955,1529600,86.0,0.9975,1.0
960,1537600,86.0,0.985,
965,1545600,86.0,0.9949622166246851,
970,1553600,86.0,0.9924242424242424,
975,1561600,86.0,0.9873737373737373,
980,1569600,86.0,0.9974424552429667,1.0
985,1577600,86.0,0.9949109414758269,
990,1585600,86.0,0.9924242424242424,
995,1593600,86.0,0.9923664122137404,
1000,1601600,86.0,0.9949238578680203,
1005,1609600,86.0,0.9948979591836735,1.0
1010,1617600,86.0,1.0,
1015,1625600,86.0,0.9923273657289002,
1020,1633600,86.0,0.9948979591836735,
1025,1641600,86.0,0.9948320413436692,
1030,1649600,86.0,0.9923469387755102,0.96875
1035,1657600,86.0,0.9949494949494949,
1040,1665600,86.0,0.9974554707379135,
1045,1673600,86.0,0.9949367088607595,
1050,1681600,86.0,0.9949367088607595,
1055,1689600,86.0,0.9923664122137404,1.0
1060,1697600,86.0,0.9949622166246851,
1065,1705600,86.0,0.9924242424242424,
1070,1713600,86.0,0.9949109414758269,
1075,1721600,86.0,0.9948979591836735,
1080,1729600,86.0,0.9872773536895675,1.0
1085,1737600,86.0,0.9949109414758269,
1090,1745600,86.0,0.9974489795918368,
1095,1753600,86.0,0.9949494949494949,
1100,1761600,86.0,0.9949748743718593,
1105,1769600,86.0,0.9924242424242424,1.0
1110,1777600,86.0,0.9923469387755102,
1115,1785600,86.0,1.0,
1120,1793600,86.0,1.0,
1125,1801600,86.0,1.0,
1130,1809600,86.0,1.0,1.0
1135,1817600,85.0,0.995,
1140,1825600,85.0,0.995,
1145,1833600,85.0,1.0,
1150,1841600,85.0,0.9950124688279302,
1155,1849600,85.0,0.9975186104218362,1.0
1160,1857600,85.0,1.0,
1165,1865600,85.0,0.9975124378109452,
1170,1873600,85.0,0.9975369458128078,
1175,1881600,85.0,0.9975308641975309,
1180,1889600,85.0,0.995049504950495,1.0
1185,1897600,85.0,0.9849624060150376,
1190,1905600,85.0,0.9925,
1195,1913600,85.0,0.9824120603015075,
1200,1921600,85.0,0.9848101265822785,
1205,1929600,85.0,0.9873096446700508,1.0
1210,1937600,85.0,0.9924242424242424,
1215,1945600,85.0,0.9948849104859335,
1220,1953600,85.0,1.0,
1225,1961600,85.0,0.995,
1230,1969600,85.0,1.0,0.96875
1235,1977600,85.0,0.9974874371859297,
1240,1985600,85.0,0.9974874371859297,
1245,1993600,85.0,0.9975247524752475,
