update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,88.0,,
5,9600,67.0,0.0,0.0
10,17600,80.0,0.0,
15,25600,86.0,0.010178117048346057,
20,33600,88.0,0.12096774193548387,
25,41600,90.0,0.28160919540229884,
30,49600,90.0,0.4046920821114369,0.25
35,57600,88.0,0.4608433734939759,
40,65600,89.0,0.4246153846153846,
45,73600,89.0,0.48059701492537316,
50,81600,89.0,0.5249266862170088,
55,89600,89.0,0.5662650602409639,0.53125
60,97600,89.0,0.5744047619047619,
65,105600,89.0,0.638728323699422,
70,113600,88.0,0.7441860465116279,
75,121600,88.0,0.7346938775510204,
80,129600,87.0,0.7580174927113703,0.90625
85,137600,87.0,0.7652173913043478,
90,145600,86.0,0.7936962750716332,
95,153600,86.0,0.7573099415204678,
100,161600,87.0,0.8333333333333334,
105,169600,86.0,0.8490028490028491,1.0
110,177600,87.0,0.8347826086956521,
115,185600,87.0,0.8535211267605634,
120,193600,86.0,0.8698060941828255,
125,201600,86.0,0.9038461538461539,
130,209600,86.0,0.9155313351498637,1.0
135,217600,86.0,0.9358288770053476,
140,225600,86.0,0.9175531914893617,
145,233600,86.0,0.9274193548387096,
150,241600,86.0,0.9130434782608695,
155,249600,85.0,0.9191374663072777,0.96875
160,257600,85.0,0.8913043478260869,
165,265600,84.0,0.9035812672176309,
170,273600,84.0,0.9289617486338798,
175,281600,84.0,0.9518716577540107,
180,289600,83.0,0.946236559139785,1.0
185,297600,83.0,0.9573333333333334,
190,305600,83.0,0.9736842105263158,
195,313600,83.0,0.9578947368421052,
200,321600,83.0,0.9659685863874345,
205,329600,82.0,0.9738903394255874,1.0
210,337600,82.0,0.9661458333333334,
215,345600,82.0,0.9736147757255936,
220,353600,82.0,0.9574468085106383,
225,361600,82.0,0.967828418230563,
230,369600,82.0,0.974025974025974,1.0
235,377600,82.0,0.9404145077720207,
240,385600,82.0,0.9641025641025641,
245,393600,82.0,0.9556135770234987,
250,401600,82.0,0.9428571428571428,
255,409600,82.0,0.9455958549222798,1.0
260,417600,82.0,0.925531914893617,
265,425600,82.0,0.9289473684210526,
270,433600,81.0,0.9214092140921409,
275,441600,81.0,0.9336870026525199,
280,449600,81.0,0.9429347826086957,1.0
285,457600,81.0,0.9487870619946092,
290,465600,81.0,0.9432432432432433,
295,473600,81.0,0.9373297002724795,
300,481600,81.0,0.9397260273972603,
305,489600,81.0,0.967479674796748,1.0
310,497600,81.0,0.9784366576819407,
315,505600,81.0,0.962059620596206,
320,513600,81.0,0.9590163934426229,
325,521600,80.0,0.9646739130434783,
330,529600,79.0,0.9866666666666667,1.0
335,537600,79.0,0.9788359788359788,
340,545600,79.0,0.9354838709677419,
345,553600,79.0,0.8681318681318682,
350,561600,79.0,0.9318801089918256,
355,569600,79.0,0.9426229508196722,0.96875
360,577600,79.0,0.9013698630136986,
365,585600,79.0,0.94579945799458,
370,593600,79.0,0.962059620596206,
375,601600,79.0,0.9429347826086957,
380,609600,79.0,0.946236559139785,1.0
385,617600,78.0,0.9598930481283422,
390,625600,78.0,0.9841269841269841,
395,633600,78.0,0.9921875,
400,641600,78.0,0.9790575916230366,
405,649600,78.0,0.9869451697127938,1.0
410,657600,78.0,0.9739583333333334,
415,665600,78.0,0.9842931937172775,
420,673600,78.0,0.9470899470899471,
425,681600,78.0,0.9573333333333334,
430,689600,78.0,0.9682539682539683,0.96875
435,697600,78.0,0.9682539682539683,
440,705600,78.0,0.9736842105263158,
445,713600,78.0,0.9869451697127938,
450,721600,78.0,0.9844559585492227,
455,729600,78.0,0.9871794871794872,1.0
460,737600,78.0,0.9870466321243523,
465,745600,78.0,0.9846547314578005,
470,753600,78.0,0.9897435897435898,
475,761600,78.0,0.9924433249370277,
480,769600,78.0,0.9821882951653944,1.0
485,777600,78.0,0.989821882951654,
490,785600,78.0,0.9897435897435898,
495,793600,78.0,0.9664948453608248,
500,801600,78.0,0.9948849104859335,
505,809600,78.0,0.9898734177215189,1.0
510,817600,78.0,0.9949367088607595,
515,825600,78.0,0.9924433249370277,
520,833600,78.0,0.9924242424242424,
525,841600,78.0,0.9874371859296482,
530,849600,78.0,0.9949367088607595,1.0
535,857600,78.0,0.9974874371859297,
540,865600,78.0,0.9949367088607595,
545,873600,78.0,0.9898477157360406,
550,881600,78.0,0.9797979797979798,
555,889600,78.0,0.9694656488549618,1.0
560,897600,77.0,0.9924433249370277,
565,905600,78.0,0.9950124688279302,
570,913600,78.0,0.9974937343358395,
575,921600,77.0,0.9874371859296482,
580,929600,77.0,0.9722222222222222,1.0
585,937600,77.0,0.9974937343358395,
590,945600,77.0,0.9873096446700508,
595,953600,77.0,0.9975,
600,961600,77.0,0.9899497487437185,
605,969600,77.0,0.9950124688279302,1.0
610,977600,77.0,0.9924433249370277,
615,985600,77.0,0.9924242424242424,
620,993600,77.0,0.9873417721518988,
625,1001600,77.0,0.9949367088607595,
630,1009600,77.0,0.9924433249370277,1.0
635,1017600,77.0,0.9923469387755102,
640,1025600,77.0,0.9796954314720813,
645,1033600,77.0,0.9949622166246851,
650,1041600,77.0,0.9924812030075187,
655,1049600,77.0,0.9924433249370277,0.96875
660,1057600,77.0,0.9925,
665,1065600,77.0,0.9975062344139651,
670,1073600,77.0,0.9874686716791979,
675,1081600,77.0,0.9950124688279302,
680,1089600,78.0,0.9849624060150376,1.0
685,1097600,78.0,0.9875,
690,1105600,78.0,1.0,
695,1113600,78.0,0.9950738916256158,
700,1121600,78.0,0.99,
705,1129600,78.0,0.995,1.0
710,1137600,78.0,0.9925,
715,1145600,78.0,0.9975124378109452,
720,1153600,78.0,0.995049504950495,
725,1161600,78.0,1.0,
730,1169600,78.0,1.0,1.0
735,1177600,78.0,1.0,
740,1185600,78.0,0.9877149877149877,
745,1193600,78.0,0.9826302729528535,
750,1201600,78.0,0.9876237623762376,
755,1209600,78.0,0.9826302729528535,0.96875
760,1217600,78.0,1.0,
765,1225600,78.0,0.9925187032418953,
770,1233600,78.0,1.0,
775,1241600,78.0,0.9900744416873449,
780,1249600,78.0,0.9975429975429976,1.0
785,1257600,78.0,0.9975429975429976,
790,1265600,78.0,1.0,
795,1273600,78.0,0.9950738916256158,
800,1281600,78.0,0.9950617283950617,
805,1289600,78.0,0.9950617283950617,1.0
