update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,53.0,,
5,9600,45.0,0.0,0.0
10,17600,58.0,0.0,
15,25600,65.0,0.0,
20,33600,69.0,0.0,
25,41600,73.0,0.0,
30,49600,74.0,0.0,0.0
35,57600,75.0,0.0,
40,65600,76.0,0.0,
45,73600,76.0,0.0,
50,81600,76.0,0.0,
55,89600,75.0,0.0,0.0
60,97600,76.0,0.0,
65,105600,77.0,0.002551020408163265,
70,113600,77.0,0.0,
75,121600,77.0,0.005277044854881266,
80,129600,77.0,0.005420054200542005,0.1875
85,137600,77.0,0.008130081300813009,
90,145600,78.0,0.03038674033149171,
95,153600,78.0,0.027700831024930747,
100,161600,78.0,0.027777777777777776,
105,169600,77.0,0.019498607242339833,0.03125
110,177600,77.0,0.029498525073746312,
115,185600,77.0,0.03724928366762178,
120,193600,77.0,0.011235955056179775,
125,201600,77.0,0.020172910662824207,
130,209600,77.0,0.03651685393258427,0.0
135,217600,77.0,0.02,
140,225600,77.0,0.05217391304347826,
145,233600,77.0,0.043731778425655975,
150,241600,78.0,0.04081632653061224,
155,249600,77.0,0.026239067055393587,0.09375
160,257600,78.0,0.0621301775147929,
165,265600,77.0,0.08902077151335312,
170,273600,77.0,0.06287425149700598,
175,281600,77.0,0.08708708708708708,
180,289600,76.0,0.06006006006006006,0.15625
185,297600,76.0,0.08108108108108109,
190,305600,76.0,0.10060975609756098,
195,313600,77.0,0.0856269113149847,
200,321600,77.0,0.10060975609756098,
205,329600,77.0,0.09538461538461539,0.34375
210,337600,77.0,0.17337461300309598,
215,345600,77.0,0.15337423312883436,
220,353600,77.0,0.1393188854489164,
225,361600,77.0,0.11801242236024845,
230,369600,77.0,0.09815950920245399,0.28125
235,377600,77.0,0.184375,
240,385600,77.0,0.1289308176100629,
245,393600,77.0,0.16199376947040497,
250,401600,77.0,0.24375,
255,409600,77.0,0.17080745341614906,0.25
260,417600,77.0,0.16408668730650156,
265,425600,77.0,0.18153846153846154,
270,433600,77.0,0.18553459119496854,
275,441600,77.0,0.16875,
280,449600,77.0,0.18181818181818182,0.3125
285,457600,77.0,0.20440251572327045,
290,465600,77.0,0.2334384858044164,
295,473600,77.0,0.1892744479495268,
300,481600,77.0,0.19558359621451105,
305,489600,77.0,0.2555205047318612,0.34375
310,497600,77.0,0.22429906542056074,
315,505600,77.0,0.20307692307692307,
320,513600,77.0,0.22429906542056074,
325,521600,77.0,0.16358024691358025,
330,529600,77.0,0.23510971786833856,0.1875
335,537600,77.0,0.2334384858044164,
340,545600,77.0,0.2006172839506173,
345,553600,77.0,0.2087227414330218,
350,561600,77.0,0.22955974842767296,
355,569600,77.0,0.2345679012345679,0.1875
360,577600,77.0,0.2260061919504644,
365,585600,77.0,0.17484662576687116,
370,593600,77.0,0.2360248447204969,
375,601600,77.0,0.27076923076923076,
380,609600,77.0,0.2267080745341615,0.34375
385,617600,77.0,0.24528301886792453,
390,625600,77.0,0.23219814241486067,
395,633600,77.0,0.21003134796238246,
400,641600,77.0,0.16363636363636364,
405,649600,77.0,0.14634146341463414,0.21875
410,657600,77.0,0.19875776397515527,
415,665600,77.0,0.18042813455657492,
420,673600,77.0,0.275,
425,681600,77.0,0.22118380062305296,
430,689600,77.0,0.22910216718266255,0.3125
435,697600,77.0,0.20123839009287925,
440,705600,77.0,0.209375,
445,713600,77.0,0.219435736677116,
450,721600,77.0,0.30914826498422715,
455,729600,77.0,0.279874213836478,0.53125
460,737600,77.0,0.2830188679245283,
465,745600,77.0,0.2830188679245283,
470,753600,77.0,0.3072100313479624,
475,761600,77.0,0.2807570977917981,
480,769600,77.0,0.279874213836478,0.28125
485,777600,77.0,0.3194888178913738,
490,785600,77.0,0.28391167192429023,
495,793600,77.0,0.3089171974522293,
500,801600,77.0,0.2961783439490446,
505,809600,77.0,0.3548387096774194,0.5
510,817600,77.0,0.3247588424437299,
515,825600,77.0,0.3248407643312102,
520,833600,77.0,0.28434504792332266,
525,841600,77.0,0.36477987421383645,
530,849600,77.0,0.2875,0.3125
535,857600,77.0,0.34169278996865204,
540,865600,77.0,0.4240506329113924,
545,873600,77.0,0.371875,
550,881600,77.0,0.29780564263322884,
555,889600,77.0,0.40189873417721517,0.5
560,897600,77.0,0.3440514469453376,
565,905600,77.0,0.37777777777777777,
570,913600,77.0,0.346031746031746,
575,921600,77.0,0.38782051282051283,
580,929600,77.0,0.37658227848101267,0.28125
585,937600,77.0,0.37579617834394907,
590,945600,77.0,0.36075949367088606,
595,953600,77.0,0.3523809523809524,
600,961600,77.0,0.3065015479876161,
605,969600,77.0,0.30625,0.40625
610,977600,77.0,0.38485804416403785,
615,985600,77.0,0.3627760252365931,
620,993600,77.0,0.42948717948717946,
625,1001600,77.0,0.4426751592356688,
630,1009600,77.0,0.37261146496815284,0.5625
635,1017600,77.0,0.3829113924050633,
640,1025600,77.0,0.31545741324921134,
645,1033600,77.0,0.37658227848101267,
650,1041600,77.0,0.38311688311688313,
655,1049600,77.0,0.3408360128617363,0.375
660,1057600,77.0,0.31962025316455694,
665,1065600,77.0,0.3627760252365931,
670,1073600,77.0,0.37261146496815284,
675,1081600,77.0,0.3354632587859425,
680,1089600,77.0,0.3667711598746082,0.46875
