update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,83.0,,
5,9600,60.0,0.0,0.0
10,17600,70.0,0.0,
15,25600,76.0,0.0,
20,33600,79.0,0.0,
25,41600,81.0,0.0,
30,49600,81.0,0.0,0.0
35,57600,82.0,0.0,
40,65600,83.0,0.0,
45,73600,84.0,0.0,
50,81600,85.0,0.0,
55,89600,84.0,0.0,0.0
60,97600,86.0,0.0,
65,105600,86.0,0.0,
70,113600,87.0,0.0027624309392265192,
75,121600,89.0,0.0027100271002710027,
80,129600,88.0,0.011111111111111112,0.03125
85,137600,88.0,0.011019283746556474,
90,145600,88.0,0.011396011396011397,
95,153600,88.0,0.022408963585434174,
100,161600,88.0,0.028011204481792718,
105,169600,87.0,0.033707865168539325,0.1875
110,177600,85.0,0.03735632183908046,
115,185600,84.0,0.05172413793103448,
120,193600,83.0,0.031791907514450865,
125,201600,82.0,0.04985337243401759,
130,209600,80.0,0.06567164179104477,0.125
135,217600,80.0,0.08484848484848485,
140,225600,80.0,0.08928571428571429,
145,233600,80.0,0.10089020771513353,
150,241600,81.0,0.12576687116564417,
155,249600,80.0,0.14153846153846153,0.125
160,257600,80.0,0.12307692307692308,
165,265600,80.0,0.12693498452012383,
170,273600,80.0,0.12269938650306748,
175,281600,80.0,0.14939024390243902,
180,289600,80.0,0.1165644171779141,0.25
185,297600,79.0,0.14759036144578314,
190,305600,79.0,0.178125,
195,313600,79.0,0.14906832298136646,
200,321600,80.0,0.12424242424242424,
205,329600,80.0,0.14329268292682926,0.21875
210,337600,80.0,0.1303030303030303,
215,345600,80.0,0.1798780487804878,
220,353600,80.0,0.15963855421686746,
225,361600,81.0,0.2392638036809816,
230,369600,82.0,0.2246153846153846,0.375
235,377600,83.0,0.18461538461538463,
240,385600,83.0,0.22085889570552147,
245,393600,84.0,0.1826625386996904,
250,401600,85.0,0.22530864197530864,
255,409600,86.0,0.26791277258566976,0.21875
260,417600,86.0,0.2,
265,425600,86.0,0.19003115264797507,
270,433600,87.0,0.2043343653250774,
275,441600,87.0,0.21875,
280,449600,87.0,0.2222222222222222,0.3125
285,457600,87.0,0.2236024844720497,
290,465600,88.0,0.23510971786833856,
295,473600,88.0,0.23417721518987342,
300,481600,89.0,0.2664576802507837,
305,489600,89.0,0.25,0.375
310,497600,89.0,0.2802547770700637,
315,505600,89.0,0.3396825396825397,
320,513600,90.0,0.32075471698113206,
325,521600,89.0,0.3510971786833856,
330,529600,89.0,0.38412698412698415,0.3125
335,537600,90.0,0.33753943217665616,
340,545600,90.0,0.34591194968553457,
345,553600,90.0,0.31347962382445144,
350,561600,90.0,0.3396825396825397,
355,569600,90.0,0.3769968051118211,0.53125
360,577600,90.0,0.35873015873015873,
365,585600,91.0,0.36129032258064514,
370,593600,91.0,0.38311688311688313,
375,601600,91.0,0.3818770226537217,
380,609600,91.0,0.3633440514469453,0.59375
385,617600,91.0,0.3279742765273312,
390,625600,91.0,0.2984126984126984,
395,633600,91.0,0.3333333333333333,
400,641600,91.0,0.321875,
405,649600,91.0,0.35514018691588783,0.6875
410,657600,91.0,0.34076433121019106,
415,665600,92.0,0.305993690851735,
420,673600,92.0,0.3639240506329114,
425,681600,92.0,0.330188679245283,
430,689600,92.0,0.3173076923076923,0.5625
