update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,99.0,,
5,9600,81.0,0.0,0.0
10,17600,93.0,0.0,
15,25600,100.0,0.0,
20,33600,105.0,0.022857142857142857,
25,41600,109.0,0.07428571428571429,
30,49600,104.0,0.22033898305084745,0.6875
35,57600,104.0,0.4134078212290503,
40,65600,106.0,0.5277777777777778,
45,73600,109.0,0.5586592178770949,
50,81600,110.0,0.6022099447513812,
55,89600,109.0,0.7228260869565217,0.90625
60,97600,111.0,0.7032967032967034,
65,105600,112.0,0.7814207650273224,
70,113600,113.0,0.8216216216216217,
75,121600,114.0,0.8864864864864865,
80,129600,113.0,0.9047619047619048,1.0
85,137600,114.0,0.9576719576719577,
90,145600,114.0,0.9358288770053476,
95,153600,115.0,0.9202127659574468,
100,161600,115.0,0.9267015706806283,
105,169600,114.0,0.93717277486911,1.0
110,177600,115.0,0.953125,
115,185600,116.0,0.9421052631578948,
120,193600,116.0,0.9197860962566845,
125,201600,116.0,0.8789473684210526,
130,209600,115.0,0.8835978835978836,1.0
135,217600,115.0,0.9109947643979057,
140,225600,115.0,0.9319371727748691,
145,233600,115.0,0.9635416666666666,
150,241600,115.0,0.9427083333333334,
155,249600,114.0,0.953125,1.0
160,257600,114.0,0.9583333333333334,
165,265600,111.0,0.890625,
170,273600,112.0,0.9414893617021277,
175,281600,112.0,0.90625,
180,289600,111.0,0.9384615384615385,1.0
185,297600,111.0,0.8677248677248677,
190,305600,111.0,0.8704663212435233,
195,313600,111.0,0.9153439153439153,
200,321600,111.0,0.9427083333333334,
205,329600,111.0,0.9378238341968912,1.0
210,337600,112.0,0.9015544041450777,
215,345600,112.0,0.927461139896373,
220,353600,112.0,0.9052631578947369,
225,361600,113.0,0.921875,
230,369600,112.0,0.873015873015873,1.0
235,377600,113.0,0.9427083333333334,
240,385600,113.0,0.9319371727748691,
245,393600,114.0,0.921875,
250,401600,114.0,0.9481865284974094,
255,409600,114.0,0.9585492227979274,1.0
260,417600,114.0,0.9484536082474226,
265,425600,114.0,0.9897435897435898,
270,433600,115.0,0.8911917098445595,
275,441600,115.0,0.9692307692307692,
280,449600,114.0,0.8789473684210526,0.875
285,457600,114.0,0.8526315789473684,
290,465600,114.0,0.9259259259259259,
295,473600,114.0,0.8306878306878307,
300,481600,115.0,0.93717277486911,
305,489600,115.0,0.9010416666666666,1.0
310,497600,115.0,0.8368421052631579,
315,505600,115.0,0.9057591623036649,
320,513600,115.0,0.8854166666666666,
325,521600,114.0,0.8624338624338624,
330,529600,114.0,0.8333333333333334,1.0
335,537600,114.0,0.7593582887700535,
340,545600,114.0,0.8848167539267016,
345,553600,114.0,0.8979591836734694,
350,561600,115.0,0.9690721649484536,
355,569600,114.0,0.958974358974359,1.0
360,577600,114.0,0.9336734693877551,
365,585600,115.0,0.9743589743589743,
370,593600,115.0,0.9226804123711341,
375,601600,115.0,0.9010416666666666,
380,609600,115.0,0.9378238341968912,1.0
385,617600,115.0,0.9536082474226805,
390,625600,115.0,0.917098445595855,
395,633600,115.0,0.8974358974358975,
400,641600,115.0,0.9484536082474226,
405,649600,115.0,0.9743589743589743,1.0
410,657600,115.0,0.9072164948453608,
415,665600,115.0,0.9072164948453608,
420,673600,115.0,0.923469387755102,
425,681600,115.0,0.9695431472081218,
430,689600,115.0,0.9132653061224489,1.0
435,697600,115.0,0.882051282051282,
440,705600,115.0,0.9183673469387755,
445,713600,115.0,0.9015544041450777,
450,721600,115.0,0.9076923076923077,
455,729600,115.0,0.9384615384615385,1.0
460,737600,115.0,0.9642857142857143,
465,745600,115.0,0.9693877551020408,
470,753600,115.0,0.9432989690721649,
475,761600,115.0,0.9849246231155779,
480,769600,114.0,0.9435897435897436,1.0
485,777600,115.0,0.9432989690721649,
490,785600,114.0,0.9484536082474226,
495,793600,114.0,0.9739583333333334,
500,801600,114.0,0.9489795918367347,
505,809600,114.0,0.9489795918367347,1.0
510,817600,114.0,0.9487179487179487,
515,825600,114.0,0.9487179487179487,
520,833600,114.0,0.9179487179487179,
525,841600,114.0,0.9384615384615385,
530,849600,113.0,0.9489795918367347,1.0
535,857600,113.0,0.9481865284974094,
540,865600,113.0,0.9795918367346939,
545,873600,113.0,0.9846938775510204,
550,881600,113.0,0.9593908629441624,
555,889600,113.0,0.9846153846153847,1.0
560,897600,113.0,0.99,
565,905600,113.0,0.9693877551020408,
570,913600,114.0,0.9849246231155779,
575,921600,114.0,0.9796954314720813,
580,929600,114.0,0.98989898989899,1.0
585,937600,114.0,1.0,
590,945600,114.0,0.9846938775510204,
595,953600,114.0,0.9545454545454546,
600,961600,114.0,0.9744897959183674,
605,969600,114.0,0.917098445595855,1.0
610,977600,114.0,0.965,
615,985600,114.0,0.9898477157360406,
620,993600,115.0,0.9695431472081218,
625,1001600,115.0,0.9644670050761421,
630,1009600,114.0,0.9899497487437185,1.0
635,1017600,115.0,0.9744897959183674,
640,1025600,115.0,0.9796954314720813,
645,1033600,115.0,0.9593908629441624,
650,1041600,115.0,0.9795918367346939,
655,1049600,114.0,0.9796954314720813,0.96875
660,1057600,115.0,0.9743589743589743,
665,1065600,115.0,0.9278350515463918,
670,1073600,115.0,0.9538461538461539,
675,1081600,115.0,0.9593908629441624,
680,1089600,115.0,0.9639175257731959,0.96875
685,1097600,115.0,0.9285714285714286,
690,1105600,115.0,0.9695431472081218,
695,1113600,115.0,0.9010416666666666,
700,1121600,115.0,0.9693877551020408,
705,1129600,115.0,0.9794871794871794,1.0
710,1137600,116.0,0.9543147208121827,
715,1145600,116.0,0.9796954314720813,
720,1153600,116.0,0.9949238578680203,
725,1161600,116.0,0.9748743718592965,
730,1169600,116.0,0.9746192893401016,1.0
735,1177600,116.0,0.9794871794871794,
740,1185600,116.0,0.9282051282051282,
745,1193600,117.0,0.949238578680203,
750,1201600,117.0,0.9644670050761421,
755,1209600,117.0,0.9540816326530612,1.0
760,1217600,117.0,0.9642857142857143,
765,1225600,117.0,0.9746192893401016,
770,1233600,117.0,0.9695431472081218,
775,1241600,117.0,0.9796954314720813,
780,1249600,117.0,0.9796954314720813,1.0
785,1257600,117.0,0.9847715736040609,
790,1265600,117.0,0.9642857142857143,
795,1273600,117.0,0.9435897435897436,
800,1281600,118.0,0.9438775510204082,
805,1289600,117.0,0.9795918367346939,1.0
810,1297600,117.0,0.9644670050761421,
815,1305600,117.0,0.9175257731958762,
820,1313600,117.0,0.9536082474226805,
825,1321600,117.0,0.9642857142857143,
830,1329600,117.0,0.9899497487437185,1.0
835,1337600,117.0,0.9238578680203046,
840,1345600,117.0,0.9538461538461539,
845,1353600,117.0,0.8756476683937824,
850,1361600,117.0,0.958974358974359,
855,1369600,117.0,0.9336734693877551,1.0
860,1377600,117.0,0.9489795918367347,
865,1385600,117.0,0.9487179487179487,
870,1393600,117.0,0.9384615384615385,
875,1401600,117.0,0.9593908629441624,
880,1409600,117.0,0.9798994974874372,1.0
885,1417600,117.0,0.9794871794871794,
890,1425600,117.0,0.98989898989899,
895,1433600,117.0,0.9642857142857143,
900,1441600,117.0,0.9696969696969697,
905,1449600,117.0,0.9949494949494949,0.96875
910,1457600,116.0,0.9948979591836735,
915,1465600,117.0,0.9949494949494949,
920,1473600,117.0,0.9949494949494949,
925,1481600,117.0,0.98989898989899,
930,1489600,117.0,0.9595959595959596,1.0
935,1497600,117.0,0.9949494949494949,
940,1505600,117.0,0.9543147208121827,
945,1513600,117.0,0.9540816326530612,
950,1521600,117.0,0.9487179487179487,
955,1529600,117.0,0.9897959183673469,1.0
960,1537600,117.0,0.9797979797979798,
965,1545600,117.0,0.9642857142857143,
970,1553600,117.0,0.9384615384615385,
975,1561600,117.0,0.9846938775510204,
980,1569600,117.0,0.98989898989899,1.0
985,1577600,117.0,0.9846153846153847,
990,1585600,117.0,0.9746192893401016,
995,1593600,117.0,0.9489795918367347,
1000,1601600,117.0,0.9595959595959596,
1005,1609600,117.0,0.9435897435897436,0.96875
1010,1617600,117.0,0.9593908629441624,
1015,1625600,117.0,0.9744897959183674,
1020,1633600,117.0,0.9796954314720813,
1025,1641600,117.0,0.9545454545454546,
1030,1649600,117.0,0.9226804123711341,1.0
1035,1657600,117.0,0.9282051282051282,
1040,1665600,117.0,0.9387755102040817,
1045,1673600,118.0,0.9128205128205128,
1050,1681600,118.0,0.8865979381443299,
1055,1689600,118.0,0.9545454545454546,1.0
1060,1697600,118.0,0.9847715736040609,
1065,1705600,118.0,0.9795918367346939,
1070,1713600,118.0,0.9748743718592965,
1075,1721600,118.0,0.9897435897435898,
1080,1729600,118.0,0.923469387755102,1.0
1085,1737600,118.0,0.958974358974359,
1090,1745600,118.0,0.9748743718592965,
1095,1753600,118.0,0.9948979591836735,
1100,1761600,118.0,0.9849246231155779,
1105,1769600,118.0,1.0,0.96875
1110,1777600,118.0,0.9798994974874372,
1115,1785600,118.0,0.9948979591836735,
1120,1793600,118.0,0.995,
1125,1801600,118.0,0.9796954314720813,
1130,1809600,118.0,0.9949494949494949,1.0
1135,1817600,118.0,0.9794871794871794,
1140,1825600,118.0,0.9696969696969697,
1145,1833600,118.0,0.9744897959183674,
1150,1841600,118.0,0.9646464646464646,
1155,1849600,118.0,0.9949238578680203,0.96875
1160,1857600,118.0,0.98989898989899,
1165,1865600,118.0,0.9949238578680203,
1170,1873600,118.0,0.9847715736040609,
1175,1881600,118.0,0.9949494949494949,
1180,1889600,118.0,0.9898477157360406,1.0
1185,1897600,118.0,0.9797979797979798,
1190,1905600,118.0,0.9796954314720813,
1195,1913600,118.0,0.9846938775510204,
1200,1921600,118.0,0.9746192893401016,
1205,1929600,118.0,0.9693877551020408,1.0
1210,1937600,118.0,0.9949494949494949,
1215,1945600,119.0,0.9948979591836735,
1220,1953600,119.0,0.9644670050761421,
1225,1961600,119.0,0.9949238578680203,
1230,1969600,119.0,0.958974358974359,0.96875
1235,1977600,119.0,0.9591836734693877,
1240,1985600,119.0,1.0,
1245,1993600,119.0,0.9746192893401016,
1250,2001600,119.0,0.9387755102040817,
1255,2009600,119.0,0.9540816326530612,0.96875
1260,2017600,119.0,0.9797979797979798,
1265,2025600,119.0,0.9846938775510204,
1270,2033600,119.0,0.98,
1275,2041600,119.0,1.0,
1280,2049600,119.0,1.0,1.0
1285,2057600,119.0,0.9897959183673469,
1290,2065600,119.0,0.9747474747474747,
1295,2073600,119.0,0.9797979797979798,
1300,2081600,119.0,0.9897959183673469,
1305,2089600,119.0,0.98989898989899,1.0
1310,2097600,119.0,0.9948979591836735,
1315,2105600,119.0,0.9897959183673469,
1320,2113600,119.0,0.99,
1325,2121600,119.0,1.0,
1330,2129600,119.0,0.958974358974359,0.96875
1335,2137600,119.0,0.9949238578680203,
1340,2145600,119.0,0.9543147208121827,
1345,2153600,119.0,0.9432989690721649,
1350,2161600,119.0,0.9595959595959596,
1355,2169600,119.0,0.9746192893401016,1.0
1360,2177600,119.0,0.9948979591836735,
1365,2185600,119.0,0.9285714285714286,
1370,2193600,119.0,0.9693877551020408,
1375,2201600,119.0,0.9591836734693877,
1380,2209600,119.0,0.9846938775510204,0.96875
1385,2217600,119.0,0.9797979797979798,
1390,2225600,119.0,0.9897959183673469,
1395,2233600,119.0,0.9899497487437185,
1400,2241600,119.0,0.9693877551020408,
1405,2249600,119.0,0.9230769230769231,1.0
1410,2257600,119.0,0.9230769230769231,
1415,2265600,119.0,0.9642857142857143,
1420,2273600,119.0,0.9846938775510204,
1425,2281600,119.0,0.9693877551020408,
1430,2289600,119.0,0.9899497487437185,1.0
1435,2297600,119.0,0.9897959183673469,
1440,2305600,119.0,0.98989898989899,
1445,2313600,119.0,0.98989898989899,
1450,2321600,119.0,0.9847715736040609,
1455,2329600,119.0,0.9847715736040609,0.96875
1460,2337600,119.0,0.9848484848484849,
1465,2345600,119.0,0.9797979797979798,
1470,2353600,119.0,0.9635416666666666,
1475,2361600,119.0,0.9846938775510204,
1480,2369600,119.0,0.9746192893401016,1.0
1485,2377600,119.0,0.9744897959183674,
1490,2385600,119.0,0.9698492462311558,
1495,2393600,119.0,0.9948979591836735,
1500,2401600,119.0,0.9698492462311558,
1505,2409600,119.0,0.9642857142857143,1.0
1510,2417600,119.0,0.9646464646464646,
1515,2425600,118.0,0.9693877551020408,
1520,2433600,118.0,0.9695431472081218,
1525,2441600,118.0,0.9695431472081218,
1530,2449600,118.0,0.9847715736040609,1.0
1535,2457600,118.0,0.9796954314720813,
1540,2465600,118.0,0.9848484848484849,
1545,2473600,118.0,0.9898477157360406,
1550,2481600,118.0,0.9593908629441624,
