update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,92.0,,
5,9600,73.0,0.0,0.0
10,17600,86.0,0.0,
15,25600,92.0,0.025252525252525252,
20,33600,96.0,0.10597826086956522,
25,41600,98.0,0.2655367231638418,
30,49600,97.0,0.3556851311953353,0.21875
35,57600,99.0,0.40173410404624277,
40,65600,100.0,0.49707602339181284,
45,73600,100.0,0.5398773006134969,
50,81600,101.0,0.5481927710843374,
55,89600,100.0,0.6165644171779141,0.53125
60,97600,100.0,0.5838509316770186,
65,105600,101.0,0.5993788819875776,
70,113600,102.0,0.6635802469135802,
75,121600,102.0,0.7393939393939394,
80,129600,102.0,0.7291666666666666,0.8125
85,137600,102.0,0.7134502923976608,
90,145600,102.0,0.7573099415204678,
95,153600,103.0,0.7735294117647059,
100,161600,103.0,0.8194842406876791,
105,169600,102.0,0.8510028653295129,0.90625
110,177600,103.0,0.8304093567251462,
115,185600,103.0,0.8885714285714286,
120,193600,103.0,0.9293785310734464,
125,201600,103.0,0.9411764705882353,
130,209600,103.0,0.925207756232687,1.0
135,217600,103.0,0.9452054794520548,
140,225600,103.0,0.9390581717451524,
145,233600,104.0,0.931129476584022,
150,241600,104.0,0.9617486338797814,
155,249600,103.0,0.9346049046321526,1.0
160,257600,104.0,0.9642857142857143,
165,265600,101.0,0.9478021978021978,
170,273600,102.0,0.9697802197802198,
175,281600,102.0,0.9565217391304348,
180,289600,102.0,0.953551912568306,1.0
185,297600,102.0,0.958904109589041,
190,305600,102.0,0.9504132231404959,
195,313600,102.0,0.9641873278236914,
200,321600,102.0,0.9562841530054644,
205,329600,102.0,0.943089430894309,1.0
210,337600,102.0,0.9918256130790191,
215,345600,102.0,0.9646739130434783,
220,353600,103.0,0.9679144385026738,
225,361600,103.0,0.9894459102902374,
230,369600,103.0,0.9547872340425532,1.0
235,377600,103.0,0.978891820580475,
240,385600,103.0,0.9733333333333334,
