update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,110.0,,
5,9600,78.0,0.0,0.0
10,17600,92.0,0.0,
15,25600,97.0,0.025252525252525252,
20,33600,100.0,0.10597826086956522,
25,41600,101.0,0.2655367231638418,
30,49600,100.0,0.3556851311953353,0.21875
35,57600,102.0,0.40173410404624277,
40,65600,103.0,0.49707602339181284,
45,73600,104.0,0.5398773006134969,
50,81600,105.0,0.5481927710843374,
55,89600,104.0,0.6165644171779141,0.53125
60,97600,105.0,0.5838509316770186,
65,105600,106.0,0.5993788819875776,
70,113600,107.0,0.6635802469135802,
75,121600,108.0,0.7393939393939394,
80,129600,109.0,0.7291666666666666,0.8125
85,137600,110.0,0.7134502923976608,
90,145600,111.0,0.7573099415204678,
95,153600,111.0,0.7735294117647059,
100,161600,112.0,0.8194842406876791,
105,169600,112.0,0.8510028653295129,0.90625
110,177600,112.0,0.8304093567251462,
115,185600,112.0,0.8885714285714286,
120,193600,112.0,0.9293785310734464,
125,201600,113.0,0.9411764705882353,
130,209600,112.0,0.925207756232687,1.0
135,217600,111.0,0.9452054794520548,
140,225600,111.0,0.9390581717451524,
145,233600,111.0,0.931129476584022,
150,241600,111.0,0.9617486338797814,
155,249600,110.0,0.9346049046321526,1.0
160,257600,110.0,0.9642857142857143,
165,265600,108.0,0.9478021978021978,
170,273600,108.0,0.9697802197802198,
175,281600,109.0,0.9565217391304348,
180,289600,108.0,0.953551912568306,1.0
185,297600,109.0,0.958904109589041,
190,305600,109.0,0.9504132231404959,
195,313600,109.0,0.9641873278236914,
200,321600,110.0,0.9562841530054644,
205,329600,109.0,0.943089430894309,1.0
210,337600,110.0,0.9918256130790191,
215,345600,111.0,0.9646739130434783,
220,353600,111.0,0.9679144385026738,
225,361600,110.0,0.9894459102902374,
230,369600,109.0,0.9547872340425532,1.0
235,377600,109.0,0.978891820580475,
240,385600,110.0,0.9733333333333334,
245,393600,110.0,0.9866310160427807,
250,401600,110.0,0.9813333333333333,
255,409600,110.0,0.9921052631578947,0.96875
260,417600,110.0,0.9709762532981531,
265,425600,110.0,0.9920424403183024,
270,433600,110.0,0.9735449735449735,
275,441600,111.0,0.967828418230563,
280,449600,111.0,0.9761273209549072,1.0
285,457600,111.0,0.9840425531914894,
290,465600,111.0,0.9411764705882353,
295,473600,112.0,0.9652406417112299,
300,481600,112.0,0.9841688654353562,
305,489600,112.0,0.973753280839895,1.0
310,497600,112.0,0.9947643979057592,
315,505600,112.0,0.9920424403183024,
320,513600,112.0,0.9735449735449735,
325,521600,111.0,0.9681697612732095,
330,529600,111.0,0.968,0.96875
335,537600,111.0,0.970108695652174,
340,545600,111.0,0.9730458221024259,
345,553600,112.0,0.978319783197832,
350,561600,112.0,0.9811320754716981,
355,569600,112.0,0.9702702702702702,0.96875
360,577600,112.0,0.940379403794038,
365,585600,112.0,0.9836956521739131,
370,593600,112.0,0.967032967032967,
375,601600,112.0,0.9560439560439561,
380,609600,112.0,0.9809782608695652,1.0
385,617600,112.0,0.9700272479564033,
390,625600,113.0,0.9893617021276596,
395,633600,113.0,0.986737400530504,
400,641600,113.0,0.9921052631578947,
405,649600,113.0,1.0,1.0
410,657600,113.0,0.9871134020618557,
415,665600,114.0,0.968421052631579,
420,673600,114.0,0.9765625,
425,681600,114.0,0.9739583333333334,
430,689600,114.0,0.9712793733681462,1.0
435,697600,114.0,0.9895561357702349,
440,705600,114.0,0.981675392670157,
445,713600,114.0,0.9844559585492227,
450,721600,114.0,0.9765013054830287,
455,729600,114.0,0.9790575916230366,0.96875
460,737600,114.0,0.9557291666666666,
465,745600,115.0,0.9629629629629629,
470,753600,115.0,0.9656992084432717,
475,761600,115.0,0.9868073878627969,
480,769600,114.0,0.9894459102902374,1.0
485,777600,114.0,0.968503937007874,
490,785600,114.0,0.9921052631578947,
495,793600,114.0,0.9895833333333334,
500,801600,114.0,0.9627659574468085,
505,809600,113.0,0.973404255319149,1.0
510,817600,114.0,0.9787798408488063,
515,825600,114.0,0.968503937007874,
520,833600,114.0,0.9602122015915119,
525,841600,114.0,0.9545454545454546,
530,849600,114.0,0.9761904761904762,1.0
535,857600,114.0,0.9947368421052631,
540,865600,114.0,0.9894459102902374,
545,873600,114.0,0.9948186528497409,
550,881600,114.0,0.9922279792746114,
555,889600,114.0,0.9922077922077922,1.0
560,897600,114.0,0.9922680412371134,
565,905600,114.0,0.9974489795918368,
570,913600,114.0,0.9948586118251928,
575,921600,114.0,1.0,
580,929600,114.0,0.989821882951654,0.96875
585,937600,114.0,0.9796954314720813,
590,945600,114.0,0.9715025906735751,
595,953600,114.0,0.966321243523316,
600,961600,113.0,0.9844559585492227,
605,969600,113.0,0.9844961240310077,1.0
610,977600,113.0,0.981675392670157,
615,985600,113.0,0.9790575916230366,
620,993600,113.0,0.9660574412532638,
625,1001600,113.0,0.9921465968586387,
630,1009600,113.0,0.9869791666666666,1.0
635,1017600,113.0,0.9921671018276762,
640,1025600,113.0,0.9922680412371134,
645,1033600,113.0,0.9845758354755784,
650,1041600,113.0,0.9948453608247423,
655,1049600,113.0,0.9791666666666666,1.0
660,1057600,113.0,1.0,
665,1065600,113.0,0.9896640826873385,
670,1073600,113.0,0.9896103896103896,
675,1081600,113.0,0.9948320413436692,
680,1089600,113.0,1.0,1.0
685,1097600,114.0,0.9974226804123711,
690,1105600,114.0,1.0,
695,1113600,114.0,0.9924050632911392,
700,1121600,114.0,0.9923273657289002,
705,1129600,114.0,0.9897172236503856,1.0
710,1137600,114.0,0.9897172236503856,
715,1145600,114.0,0.987146529562982,
720,1153600,114.0,0.9922879177377892,
725,1161600,114.0,0.9846547314578005,
730,1169600,114.0,0.9715762273901809,1.0
735,1177600,114.0,0.9871134020618557,
740,1185600,115.0,0.9922077922077922,
745,1193600,115.0,0.9895561357702349,
750,1201600,115.0,0.9817232375979112,
755,1209600,115.0,0.9974025974025974,1.0
760,1217600,115.0,0.9897172236503856,
765,1225600,115.0,0.9974358974358974,
770,1233600,115.0,0.9871794871794872,
775,1241600,115.0,0.9974358974358974,
780,1249600,115.0,0.9948849104859335,1.0
785,1257600,115.0,0.9872122762148338,
790,1265600,115.0,0.989821882951654,
795,1273600,115.0,0.9896907216494846,
800,1281600,115.0,0.9872122762148338,
805,1289600,114.0,0.9872448979591837,1.0
810,1297600,114.0,0.9923469387755102,
815,1305600,114.0,0.9948453608247423,
820,1313600,114.0,0.9794344473007712,
825,1321600,114.0,0.9923076923076923,
830,1329600,114.0,0.9819587628865979,1.0
