update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,103.0,,
5,9600,63.0,0.0,0.0
10,17600,76.0,0.0,
15,25600,81.0,0.0,
20,33600,84.0,0.0,
25,41600,86.0,0.0,
30,49600,83.0,0.0,0.0
35,57600,85.0,0.0,
40,65600,85.0,0.0,
45,73600,85.0,0.0,
50,81600,85.0,0.0,
55,89600,84.0,0.0,0.0
60,97600,83.0,0.0,
65,105600,83.0,0.0,
70,113600,83.0,0.0,
75,121600,83.0,0.0,
80,129600,82.0,0.0,0.0
85,137600,82.0,0.0,
90,145600,82.0,0.0,
95,153600,82.0,0.005509641873278237,
100,161600,82.0,0.002849002849002849,
105,169600,81.0,0.005813953488372093,0.03125
110,177600,81.0,0.008746355685131196,
115,185600,81.0,0.01764705882352941,
120,193600,81.0,0.03197674418604651,
125,201600,81.0,0.02631578947368421,
130,209600,81.0,0.0058823529411764705,0.03125
135,217600,81.0,0.023529411764705882,
140,225600,81.0,0.026865671641791045,
145,233600,81.0,0.041916167664670656,
150,241600,81.0,0.04294478527607362,
155,249600,80.0,0.0625,0.1875
160,257600,80.0,0.053125,
165,265600,79.0,0.0778816199376947,
170,273600,80.0,0.10256410256410256,
175,281600,80.0,0.1111111111111111,
180,289600,80.0,0.16065573770491803,0.21875
185,297600,80.0,0.13738019169329074,
190,305600,81.0,0.13782051282051283,
195,313600,81.0,0.13183279742765272,
200,321600,81.0,0.14376996805111822,
205,329600,81.0,0.13183279742765272,0.1875
210,337600,80.0,0.16938110749185667,
215,345600,80.0,0.16013071895424835,
220,353600,80.0,0.13680781758957655,
225,361600,80.0,0.14743589743589744,
230,369600,80.0,0.19672131147540983,0.21875
235,377600,80.0,0.1607717041800643,
240,385600,80.0,0.18210862619808307,
245,393600,80.0,0.20192307692307693,
250,401600,80.0,0.14285714285714285,
255,409600,79.0,0.18506493506493507,0.15625
260,417600,80.0,0.20846905537459284,
265,425600,80.0,0.15112540192926044,
270,433600,80.0,0.17252396166134185,
275,441600,80.0,0.18892508143322476,
280,449600,79.0,0.2057877813504823,0.25
285,457600,79.0,0.20588235294117646,
290,465600,79.0,0.2079207920792079,
295,473600,79.0,0.12540192926045016,
300,481600,79.0,0.18092105263157895,
305,489600,79.0,0.17105263157894737,0.21875
310,497600,79.0,0.1180327868852459,
315,505600,79.0,0.12251655629139073,
320,513600,79.0,0.18394648829431437,
325,521600,78.0,0.2140468227424749,
330,529600,78.0,0.22259136212624583,0.34375
335,537600,78.0,0.19078947368421054,
340,545600,78.0,0.2635135135135135,
345,553600,78.0,0.24915824915824916,
350,561600,78.0,0.24914675767918087,
355,569600,78.0,0.25170068027210885,0.28125
360,577600,78.0,0.26262626262626265,
365,585600,78.0,0.26013513513513514,
370,593600,78.0,0.31186440677966104,
375,601600,79.0,0.24662162162162163,
380,609600,78.0,0.23411371237458195,0.21875
385,617600,79.0,0.21621621621621623,
390,625600,79.0,0.27666666666666667,
395,633600,79.0,0.33221476510067116,
400,641600,79.0,0.33447098976109213,
405,649600,79.0,0.33783783783783783,0.4375
410,657600,80.0,0.32996632996632996,
415,665600,80.0,0.3435374149659864,
420,673600,80.0,0.2297734627831715,
425,681600,80.0,0.29333333333333333,
430,689600,80.0,0.2905405405405405,0.34375
435,697600,80.0,0.32432432432432434,
440,705600,81.0,0.30976430976430974,
445,713600,81.0,0.2953020134228188,
450,721600,81.0,0.34459459459459457,
455,729600,81.0,0.35494880546075086,0.3125
460,737600,81.0,0.3468013468013468,
465,745600,81.0,0.34576271186440677,
470,753600,81.0,0.3720136518771331,
475,761600,81.0,0.35374149659863946,
480,769600,81.0,0.34121621621621623,0.4375
485,777600,82.0,0.36551724137931035,
490,785600,81.0,0.3673469387755102,
495,793600,81.0,0.32764505119453924,
500,801600,81.0,0.32666666666666666,
505,809600,81.0,0.31756756756756754,0.21875
510,817600,81.0,0.3311036789297659,
515,825600,81.0,0.4066666666666667,
520,833600,82.0,0.37583892617449666,
525,841600,82.0,0.4197952218430034,
530,849600,82.0,0.37333333333333335,0.5
535,857600,82.0,0.3864406779661017,
540,865600,83.0,0.35451505016722407,
545,873600,83.0,0.38175675675675674,
550,881600,83.0,0.3501683501683502,
555,889600,83.0,0.3422818791946309,0.53125
560,897600,83.0,0.34551495016611294,
565,905600,83.0,0.35135135135135137,
570,913600,84.0,0.3614864864864865,
575,921600,84.0,0.3927392739273927,
580,929600,84.0,0.3979933110367893,0.4375
585,937600,84.0,0.4074074074074074,
590,945600,84.0,0.304635761589404,
595,953600,84.0,0.4013377926421405,
600,961600,84.0,0.38175675675675674,
605,969600,84.0,0.4013377926421405,0.4375
610,977600,84.0,0.3926174496644295,
615,985600,85.0,0.3859060402684564,
620,993600,85.0,0.3523489932885906,
625,1001600,85.0,0.39666666666666667,
630,1009600,85.0,0.375,0.6875
635,1017600,85.0,0.41496598639455784,
640,1025600,85.0,0.41694915254237286,
645,1033600,85.0,0.38095238095238093,
650,1041600,84.0,0.3493150684931507,
655,1049600,84.0,0.3741496598639456,0.53125
660,1057600,84.0,0.36486486486486486,
665,1065600,84.0,0.3724137931034483,
670,1073600,85.0,0.3079470198675497,
675,1081600,85.0,0.3979933110367893,
680,1089600,85.0,0.34219269102990035,0.5625
685,1097600,85.0,0.38666666666666666,
690,1105600,85.0,0.33666666666666667,
695,1113600,85.0,0.40939597315436244,
700,1121600,85.0,0.4019933554817276,
705,1129600,85.0,0.3953488372093023,0.5625
710,1137600,85.0,0.4166666666666667,
715,1145600,85.0,0.35294117647058826,
720,1153600,85.0,0.3609271523178808,
725,1161600,85.0,0.3069306930693069,
730,1169600,85.0,0.31353135313531355,0.40625
735,1177600,85.0,0.31,
740,1185600,86.0,0.348993288590604,
745,1193600,86.0,0.2838283828382838,
750,1201600,86.0,0.3157894736842105,
755,1209600,86.0,0.37209302325581395,0.53125
760,1217600,86.0,0.34219269102990035,
765,1225600,86.0,0.36577181208053694,
770,1233600,86.0,0.3277027027027027,
775,1241600,86.0,0.32450331125827814,
780,1249600,86.0,0.3511705685618729,0.46875
785,1257600,86.0,0.34983498349834985,
790,1265600,86.0,0.3053691275167785,
795,1273600,86.0,0.3221476510067114,
800,1281600,86.0,0.2730263157894737,
805,1289600,86.0,0.3904109589041096,0.53125
810,1297600,86.0,0.3787375415282392,
815,1305600,86.0,0.31788079470198677,
820,1313600,86.0,0.37966101694915255,
825,1321600,86.0,0.3926174496644295,
830,1329600,85.0,0.3864406779661017,0.4375
835,1337600,85.0,0.4155405405405405,
840,1345600,86.0,0.35714285714285715,
845,1353600,86.0,0.43728813559322033,
850,1361600,86.0,0.40476190476190477,
855,1369600,85.0,0.37373737373737376,0.53125
860,1377600,85.0,0.42857142857142855,
865,1385600,85.0,0.3724832214765101,
870,1393600,86.0,0.3716216216216216,
875,1401600,86.0,0.3779264214046823,
880,1409600,86.0,0.4463087248322148,0.46875
885,1417600,86.0,0.48322147651006714,
890,1425600,86.0,0.4205298013245033,
895,1433600,86.0,0.4222972972972973,
900,1441600,86.0,0.47491638795986624,
905,1449600,86.0,0.4217687074829932,0.53125
910,1457600,86.0,0.41333333333333333,
915,1465600,86.0,0.3815789473684211,
920,1473600,86.0,0.4019933554817276,
925,1481600,86.0,0.411371237458194,
930,1489600,86.0,0.43434343434343436,0.59375
935,1497600,86.0,0.5067114093959731,
940,1505600,86.0,0.4527027027027027,
945,1513600,86.0,0.4444444444444444,
950,1521600,86.0,0.3979591836734694,
955,1529600,86.0,0.468013468013468,0.5625
960,1537600,86.0,0.45051194539249145,
965,1545600,86.0,0.4197952218430034,
970,1553600,86.0,0.36610169491525424,
975,1561600,86.0,0.48109965635738833,
980,1569600,86.0,0.4554794520547945,0.59375
985,1577600,86.0,0.48639455782312924,
990,1585600,86.0,0.4931506849315068,
995,1593600,86.0,0.43686006825938567,
1000,1601600,86.0,0.42662116040955633,
1005,1609600,86.0,0.46621621621621623,0.40625
1010,1617600,86.0,0.3979591836734694,
1015,1625600,86.0,0.3521594684385382,
1020,1633600,86.0,0.45733788395904434,
1025,1641600,86.0,0.40816326530612246,
1030,1649600,86.0,0.4576271186440678,0.53125
1035,1657600,87.0,0.40955631399317405,
1040,1665600,87.0,0.40202702702702703,
1045,1673600,87.0,0.44594594594594594,
1050,1681600,87.0,0.42424242424242425,
1055,1689600,87.0,0.44932432432432434,0.40625
