update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,116.0,,
5,9600,56.0,0.0,0.0
10,17600,70.0,0.0,
15,25600,77.0,0.0,
20,33600,82.0,0.0,
25,41600,84.0,0.0,
30,49600,80.0,0.0,0.0
35,57600,83.0,0.0,
40,65600,85.0,0.0,
45,73600,88.0,0.0,
50,81600,89.0,0.0,
55,89600,86.0,0.0,0.0
60,97600,88.0,0.0,
65,105600,90.0,0.0,
70,113600,91.0,0.0,
75,121600,92.0,0.0,
80,129600,89.0,0.0,0.0
85,137600,90.0,0.0,
90,145600,91.0,0.0,
95,153600,92.0,0.0,
100,161600,93.0,0.0,
105,169600,92.0,0.0,0.0
110,177600,92.0,0.0,
115,185600,92.0,0.0,
120,193600,93.0,0.0,
125,201600,94.0,0.0,
130,209600,92.0,0.0,0.0
135,217600,93.0,0.0,
140,225600,93.0,0.0,
145,233600,94.0,0.0,
150,241600,94.0,0.0,
155,249600,93.0,0.0,0.0
160,257600,93.0,0.0,
165,265600,93.0,0.0,
170,273600,93.0,0.0,
175,281600,93.0,0.0,
180,289600,92.0,0.0,0.0
185,297600,92.0,0.0,
190,305600,93.0,0.0,
195,313600,93.0,0.0,
200,321600,93.0,0.0,
205,329600,92.0,0.0,0.0
210,337600,93.0,0.0,
215,345600,93.0,0.0,
220,353600,93.0,0.0,
225,361600,94.0,0.0,
230,369600,93.0,0.0,0.0
235,377600,93.0,0.0,
240,385600,93.0,0.0,
245,393600,94.0,0.0,
250,401600,94.0,0.0,
255,409600,93.0,0.0,0.0
260,417600,93.0,0.0,
265,425600,94.0,0.0,
270,433600,94.0,0.0,
275,441600,94.0,0.0,
280,449600,93.0,0.0,0.0
285,457600,94.0,0.0,
290,465600,94.0,0.0,
295,473600,94.0,0.0,
300,481600,94.0,0.0,
305,489600,94.0,0.0,0.0
310,497600,94.0,0.0,
315,505600,94.0,0.0,
320,513600,94.0,0.0,
325,521600,95.0,0.0,
330,529600,93.0,0.0,0.0
335,537600,94.0,0.0,
340,545600,94.0,0.0,
345,553600,94.0,0.0,
350,561600,94.0,0.0,
355,569600,94.0,0.0,0.0
360,577600,94.0,0.0,
365,585600,94.0,0.0,
370,593600,94.0,0.0,
375,601600,94.0,0.0,
380,609600,94.0,0.0,0.0
385,617600,94.0,0.0,
390,625600,94.0,0.0,
395,633600,94.0,0.0,
400,641600,95.0,0.0,
405,649600,94.0,0.0,0.0
410,657600,94.0,0.0,
415,665600,94.0,0.0,
420,673600,95.0,0.0,
425,681600,95.0,0.0,
430,689600,94.0,0.0,0.0
435,697600,94.0,0.0,
440,705600,95.0,0.0,
445,713600,95.0,0.0,
450,721600,95.0,0.0,
455,729600,94.0,0.0,0.0
460,737600,95.0,0.0,
465,745600,95.0,0.0,
470,753600,95.0,0.0,
475,761600,95.0,0.0,
480,769600,95.0,0.0,0.0
485,777600,95.0,0.0,
490,785600,94.0,0.0,
495,793600,94.0,0.0,
500,801600,94.0,0.0,
505,809600,94.0,0.0,0.0
510,817600,94.0,0.0,
515,825600,94.0,0.0,
520,833600,94.0,0.0,
525,841600,94.0,0.0,
530,849600,94.0,0.0,0.0
535,857600,94.0,0.0,
540,865600,94.0,0.0,
545,873600,94.0,0.0,
550,881600,94.0,0.0,
555,889600,94.0,0.0,0.0
560,897600,94.0,0.0,
565,905600,94.0,0.0,
570,913600,94.0,0.0,
575,921600,94.0,0.0,
580,929600,94.0,0.0,0.0
585,937600,94.0,0.0,
590,945600,94.0,0.0,
