update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,800,37.0,,
5,4800,26.0,0.0,0.0
10,8800,33.0,0.0,
15,12800,36.0,0.0,
20,16800,38.0,0.0,
25,20800,39.0,0.0,
30,24800,37.0,0.0,0.0
35,28800,37.0,0.0,
40,32800,38.0,0.0,
45,36800,39.0,0.0,
50,40800,40.0,0.0,
55,44800,39.0,0.0,0.0
60,48800,40.0,0.0,
65,52800,40.0,0.0,
70,56800,41.0,0.0,
75,60800,41.0,0.0,
80,64800,40.0,0.0,0.0
85,68800,40.0,0.0,
90,72800,40.0,0.0,
95,76800,40.0,0.0,
100,80800,40.0,0.0,
105,84800,40.0,0.0,0.0
110,88800,40.0,0.0,
115,92800,40.0,0.0,
120,96800,41.0,0.0,
125,100800,41.0,0.0,
130,104800,40.0,0.0,0.0
135,108800,40.0,0.0,
140,112800,41.0,0.0,
145,116800,41.0,0.0,
150,120800,41.0,0.0,
155,124800,41.0,0.0,0.0
160,128800,41.0,0.0,
165,132800,41.0,0.0,
170,136800,41.0,0.0,
175,140800,42.0,0.0,
180,144800,41.0,0.0,0.0
185,148800,41.0,0.0,
190,152800,41.0,0.0,
195,156800,41.0,0.0,
200,160800,41.0,0.0,
205,164800,41.0,0.0,0.0
210,168800,41.0,0.0,
215,172800,41.0,0.0,
220,176800,41.0,0.0,
225,180800,41.0,0.0,
230,184800,41.0,0.0,0.0
235,188800,41.0,0.0,
240,192800,41.0,0.0,
245,196800,41.0,0.0,
250,200800,41.0,0.0,
255,204800,41.0,0.0,0.0
260,208800,41.0,0.0,
265,212800,41.0,0.0,
270,216800,42.0,0.0,
275,220800,42.0,0.0,
280,224800,41.0,0.0,0.0
285,228800,42.0,0.0,
290,232800,42.0,0.0,
295,236800,42.0,0.0,
300,240800,42.0,0.0,
305,244800,42.0,0.0,0.0
310,248800,42.0,0.0,
315,252800,42.0,0.0,
320,256800,42.0,0.0,
325,260800,42.0,0.0,
330,264800,42.0,0.0,0.0
335,268800,42.0,0.0,
340,272800,42.0,0.0,
345,276800,42.0,0.0,
350,280800,43.0,0.0,
355,284800,42.0,0.0,0.0
360,288800,43.0,0.0,
365,292800,43.0,0.0,
370,296800,43.0,0.0,
375,300800,43.0,0.0,
380,304800,43.0,0.0,0.0
385,308800,43.0,0.0,
390,312800,43.0,0.0,
395,316800,43.0,0.0,
400,320800,43.0,0.0,
405,324800,43.0,0.0,0.0
410,328800,43.0,0.0,
415,332800,43.0,0.0,
420,336800,43.0,0.0,
425,340800,43.0,0.0,
430,344800,43.0,0.0,0.0
435,348800,43.0,0.0,
440,352800,43.0,0.0,
445,356800,43.0,0.0,
450,360800,43.0,0.0,
455,364800,43.0,0.0,0.0
460,368800,43.0,0.0,
465,372800,43.0,0.0,
470,376800,43.0,0.0,
475,380800,43.0,0.0,
480,384800,43.0,0.0,0.0
485,388800,43.0,0.0,
490,392800,43.0,0.0,
495,396800,43.0,0.0,
500,400800,43.0,0.0,
505,404800,43.0,0.0,0.0
510,408800,43.0,0.0,
515,412800,43.0,0.0,
520,416800,43.0,0.0,
525,420800,43.0,0.0,
530,424800,43.0,0.0,0.0
535,428800,43.0,0.0,
540,432800,43.0,0.0,
545,436800,43.0,0.0,
550,440800,43.0,0.0,
555,444800,43.0,0.0,0.0
560,448800,43.0,0.0,
565,452800,43.0,0.0,
570,456800,43.0,0.0,
575,460800,43.0,0.0,
580,464800,43.0,0.0,0.0
585,468800,43.0,0.0,
590,472800,43.0,0.0,
595,476800,43.0,0.0,
600,480800,43.0,0.0,
605,484800,43.0,0.0,0.0
610,488800,43.0,0.0,
615,492800,44.0,0.0,
620,496800,44.0,0.0,
625,500800,44.0,0.0,
630,504800,43.0,0.0,0.0
635,508800,43.0,0.0,
640,512800,44.0,0.0,
645,516800,44.0,0.0,
650,520800,44.0,0.0,
655,524800,43.0,0.0,0.0
660,528800,44.0,0.0,
665,532800,44.0,0.0,
670,536800,44.0,0.0,
675,540800,44.0,0.0,
680,544800,44.0,0.0,0.0
685,548800,44.0,0.0,
690,552800,44.0,0.0,
695,556800,44.0,0.0,
700,560800,44.0,0.0,
705,564800,44.0,0.0,0.0
710,568800,44.0,0.0,
715,572800,44.0,0.0,
720,576800,44.0,0.0,
725,580800,44.0,0.0,
730,584800,44.0,0.0,0.0
735,588800,44.0,0.0,
740,592800,44.0,0.0,
745,596800,44.0,0.0,
750,600800,44.0,0.0,
755,604800,44.0,0.0,0.0
760,608800,44.0,0.0,
765,612800,44.0,0.0,
770,616800,44.0,0.0,
775,620800,44.0,0.0,
780,624800,44.0,0.0,0.0
785,628800,44.0,0.0,
790,632800,44.0,0.0,
795,636800,44.0,0.0,
800,640800,44.0,0.0,
805,644800,44.0,0.0,0.0
810,648800,44.0,0.0,
815,652800,44.0,0.0,
820,656800,44.0,0.0,
825,660800,44.0,0.0,
830,664800,44.0,0.0,0.0
835,668800,44.0,0.0,
840,672800,44.0,0.0,
845,676800,44.0,0.0,
850,680800,44.0,0.0,
855,684800,44.0,0.0,0.0
860,688800,44.0,0.0,
865,692800,44.0,0.0,
870,696800,44.0,0.0,
875,700800,44.0,0.0,
880,704800,44.0,0.0,0.0
885,708800,44.0,0.0,
890,712800,44.0,0.0,
895,716800,44.0,0.0,
900,720800,44.0,0.0,
905,724800,44.0,0.0,0.0
910,728800,44.0,0.0,
915,732800,44.0,0.0,
920,736800,44.0,0.0,
925,740800,44.0,0.0,
930,744800,44.0,0.0,0.0
935,748800,44.0,0.0,
940,752800,44.0,0.0,
945,756800,44.0,0.0,
950,760800,44.0,0.0,
955,764800,44.0,0.0,0.0
960,768800,44.0,0.0,
965,772800,44.0,0.0,
970,776800,44.0,0.0,
975,780800,44.0,0.0,
980,784800,44.0,0.0,0.0
985,788800,44.0,0.0,
990,792800,44.0,0.0,
995,796800,44.0,0.0,
1000,800800,44.0,0.0,
1005,804800,44.0,0.0,0.0
1010,808800,44.0,0.0,
1015,812800,44.0,0.0,
1020,816800,44.0,0.0,
1025,820800,44.0,0.0,
1030,824800,44.0,0.0,0.0
1035,828800,44.0,0.0,
1040,832800,44.0,0.0,
1045,836800,44.0,0.0,
1050,840800,44.0,0.0,
1055,844800,44.0,0.0,0.0
1060,848800,44.0,0.0,
1065,852800,44.0,0.0,
1070,856800,44.0,0.0,
1075,860800,44.0,0.0,
1080,864800,44.0,0.0,0.0
1085,868800,44.0,0.0,
1090,872800,44.0,0.0,
1095,876800,44.0,0.0,
1100,880800,44.0,0.0,
1105,884800,44.0,0.0,0.0
1110,888800,44.0,0.0,
1115,892800,44.0,0.0,
1120,896800,44.0,0.0,
1125,900800,44.0,0.0,
1130,904800,44.0,0.0,0.0
1135,908800,44.0,0.0,
1140,912800,45.0,0.0,
1145,916800,45.0,0.0,
1150,920800,45.0,0.0,
1155,924800,45.0,0.0,0.0
1160,928800,45.0,0.0,
1165,932800,45.0,0.0,
1170,936800,45.0,0.0,
1175,940800,45.0,0.0,
1180,944800,45.0,0.0,0.0
1185,948800,45.0,0.0,
1190,952800,45.0,0.0,
1195,956800,45.0,0.0,
1200,960800,45.0,0.0,
1205,964800,45.0,0.0,0.0
1210,968800,45.0,0.0,
1215,972800,45.0,0.0,
1220,976800,45.0,0.0,
1225,980800,45.0,0.0,
1230,984800,45.0,0.0,0.0
1235,988800,45.0,0.0,
1240,992800,45.0,0.0,
1245,996800,45.0,0.0,
1250,1000800,45.0,0.0,
1255,1004800,45.0,0.0,0.0
1260,1008800,45.0,0.0,
1265,1012800,45.0,0.0,
1270,1016800,45.0,0.0,
1275,1020800,45.0,0.0,
1280,1024800,45.0,0.0,0.0
1285,1028800,45.0,0.0,
1290,1032800,45.0,0.0,
1295,1036800,46.0,0.0,
1300,1040800,46.0,0.0,
1305,1044800,46.0,0.0,0.0
1310,1048800,46.0,0.0,
1315,1052800,46.0,0.0,
1320,1056800,46.0,0.0,
1325,1060800,46.0,0.0,
1330,1064800,46.0,0.0,0.0
1335,1068800,46.0,0.0,
1340,1072800,46.0,0.0,
1345,1076800,46.0,0.0,
1350,1080800,46.0,0.0,
1355,1084800,46.0,0.0,0.0
1360,1088800,46.0,0.0,
1365,1092800,46.0,0.0,
1370,1096800,46.0,0.0,
1375,1100800,46.0,0.0,
1380,1104800,46.0,0.0,0.0
1385,1108800,46.0,0.0,
1390,1112800,46.0,0.0,
1395,1116800,46.0,0.0,
1400,1120800,46.0,0.0,
1405,1124800,46.0,0.0,0.0
1410,1128800,46.0,0.0,
1415,1132800,46.0,0.0,
1420,1136800,47.0,0.0,
1425,1140800,47.0,0.0,
1430,1144800,47.0,0.0,0.03125
1435,1148800,47.0,0.0,
1440,1152800,47.0,0.0,
1445,1156800,47.0,0.0,
1450,1160800,47.0,0.023809523809523808,
1455,1164800,47.0,0.0,0.0
1460,1168800,47.0,0.0,
1465,1172800,47.0,0.0,
1470,1176800,47.0,0.0,
1475,1180800,47.0,0.0,
1480,1184800,47.0,0.0,0.0
1485,1188800,47.0,0.0,
1490,1192800,47.0,0.0,
1495,1196800,47.0,0.0,
1500,1200800,47.0,0.0,
1505,1204800,47.0,0.0,0.0
