update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,800,98.0,,
5,4800,68.0,0.0,0.0
10,8800,80.0,0.0,
15,12800,85.0,0.0,
20,16800,88.0,0.06951871657754011,
25,20800,90.0,0.21808510638297873,
30,24800,90.0,0.3076923076923077,0.875
35,28800,91.0,0.4411764705882353,
40,32800,92.0,0.6,
45,36800,93.0,0.6746987951807228,
50,40800,93.0,0.7023809523809523,
55,44800,91.0,0.6646341463414634,0.875
60,48800,91.0,0.656441717791411,
65,52800,92.0,0.6790123456790124,
70,56800,92.0,0.6832298136645962,
75,60800,93.0,0.7018633540372671,
80,64800,93.0,0.75,0.8125
85,68800,94.0,0.6521739130434783,
90,72800,95.0,0.6918238993710691,
95,76800,95.0,0.7375,
100,80800,95.0,0.710691823899371,
105,84800,95.0,0.740506329113924,0.8125
110,88800,96.0,0.782608695652174,
115,92800,96.0,0.7888198757763976,
120,96800,96.0,0.8333333333333334,
