update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,800,99.0,,
5,4800,82.0,0.0,0.125
10,8800,97.0,0.0,
15,12800,104.0,0.0,
20,16800,110.0,0.004807692307692308,
25,20800,113.0,0.03535353535353535,
30,24800,113.0,0.10112359550561797,0.8125
35,28800,115.0,0.20930232558139536,
40,32800,116.0,0.29545454545454547,
45,36800,117.0,0.3764705882352941,
50,40800,118.0,0.4817073170731707,
55,44800,117.0,0.42857142857142855,0.875
60,48800,118.0,0.5029585798816568,
65,52800,118.0,0.6608187134502924,
70,56800,119.0,0.6586826347305389,
75,60800,120.0,0.6242424242424243,
80,64800,119.0,0.6467065868263473,0.875
85,68800,119.0,0.7177914110429447,
90,72800,119.0,0.7636363636363637,
95,76800,120.0,0.7289156626506024,
100,80800,120.0,0.7514792899408284,
105,84800,120.0,0.7393939393939394,0.6875
110,88800,120.0,0.7037037037037037,
115,92800,120.0,0.8072289156626506,
120,96800,120.0,0.7378048780487805,
