update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,800,51.0,,
5,4800,45.0,0.0,0.0
10,8800,56.0,0.0,
15,12800,61.0,0.0,
20,16800,65.0,0.0,
25,20800,67.0,0.0,
30,24800,66.0,0.0,0.0
35,28800,67.0,0.0,
40,32800,69.0,0.0,
45,36800,70.0,0.0,
50,40800,71.0,0.0,
55,44800,70.0,0.0,0.0
60,48800,70.0,0.0,
65,52800,70.0,0.0,
70,56800,70.0,0.0,
75,60800,70.0,0.005154639175257732,
80,64800,69.0,0.005128205128205128,0.0
85,68800,69.0,0.010362694300518135,
90,72800,69.0,0.0,
95,76800,69.0,0.0,
100,80800,69.0,0.0,
105,84800,68.0,0.005319148936170213,0.03125
110,88800,68.0,0.0,
115,92800,68.0,0.010752688172043012,
120,96800,68.0,0.005405405405405406,
125,100800,68.0,0.005434782608695652,
130,104800,68.0,0.0056179775280898875,0.03125
135,108800,68.0,0.0111731843575419,
140,112800,68.0,0.022727272727272728,
145,116800,69.0,0.022222222222222223,
150,120800,69.0,0.01675977653631285,
155,124800,68.0,0.011111111111111112,0.0
160,128800,68.0,0.03867403314917127,
165,132800,68.0,0.045714285714285714,
170,136800,68.0,0.022222222222222223,
175,140800,68.0,0.027624309392265192,
180,144800,68.0,0.04597701149425287,0.0625
185,148800,68.0,0.0056179775280898875,
190,152800,68.0,0.016853932584269662,
195,156800,68.0,0.0111731843575419,
200,160800,68.0,0.016666666666666666,
205,164800,68.0,0.045454545454545456,0.0
210,168800,68.0,0.03932584269662921,
215,172800,68.0,0.0223463687150838,
220,176800,68.0,0.011560693641618497,
225,180800,68.0,0.044444444444444446,
230,184800,68.0,0.03409090909090909,0.0625
235,188800,68.0,0.05555555555555555,
240,192800,68.0,0.016853932584269662,
245,196800,68.0,0.03314917127071823,
250,200800,68.0,0.016574585635359115,
255,204800,67.0,0.05747126436781609,0.0625
260,208800,68.0,0.0446927374301676,
265,212800,68.0,0.016666666666666666,
270,216800,68.0,0.01675977653631285,
275,220800,68.0,0.02197802197802198,
280,224800,67.0,0.027777777777777776,0.03125
285,228800,67.0,0.01098901098901099,
290,232800,68.0,0.01694915254237288,
295,236800,68.0,0.02185792349726776,
300,240800,68.0,0.0213903743315508,
305,244800,67.0,0.04519774011299435,0.09375
310,248800,67.0,0.05113636363636364,
315,252800,67.0,0.03314917127071823,
320,256800,67.0,0.01639344262295082,
325,260800,66.0,0.05084745762711865,
330,264800,66.0,0.028409090909090908,0.0
335,268800,66.0,0.056179775280898875,
340,272800,66.0,0.03488372093023256,
345,276800,66.0,0.05232558139534884,
350,280800,66.0,0.05172413793103448,
355,284800,66.0,0.08284023668639054,0.03125
360,288800,66.0,0.05113636363636364,
365,292800,66.0,0.0625,
370,296800,66.0,0.08982035928143713,
375,300800,66.0,0.1488095238095238,
380,304800,66.0,0.08875739644970414,0.15625
385,308800,66.0,0.07692307692307693,
390,312800,66.0,0.08823529411764706,
395,316800,66.0,0.09523809523809523,
400,320800,66.0,0.1728395061728395,
405,324800,65.0,0.09302325581395349,0.28125
410,328800,65.0,0.14906832298136646,
415,332800,66.0,0.15757575757575756,
420,336800,66.0,0.1402439024390244,
425,340800,65.0,0.08333333333333333,
430,344800,65.0,0.12962962962962962,0.15625
435,348800,65.0,0.15286624203821655,
440,352800,65.0,0.09876543209876543,
445,356800,65.0,0.14906832298136646,
450,360800,65.0,0.12883435582822086,
455,364800,65.0,0.060240963855421686,0.28125
460,368800,65.0,0.1,
465,372800,65.0,0.09036144578313253,
470,376800,65.0,0.12883435582822086,
475,380800,65.0,0.12195121951219512,
480,384800,65.0,0.05454545454545454,0.1875
485,388800,65.0,0.13043478260869565,
490,392800,65.0,0.029585798816568046,
495,396800,65.0,0.0650887573964497,
500,400800,65.0,0.027932960893854747,
505,404800,65.0,0.0223463687150838,0.1875
510,408800,65.0,0.04678362573099415,
515,412800,65.0,0.08,
520,416800,65.0,0.14285714285714285,
525,420800,65.0,0.12280701754385964,
530,424800,65.0,0.13253012048192772,0.125
535,428800,65.0,0.1317365269461078,
540,432800,65.0,0.16463414634146342,
545,436800,65.0,0.15,
550,440800,65.0,0.11377245508982035,
555,444800,65.0,0.12941176470588237,0.125
560,448800,65.0,0.15757575757575756,
565,452800,65.0,0.08928571428571429,
570,456800,65.0,0.1402439024390244,
575,460800,65.0,0.13333333333333333,
580,464800,65.0,0.0783132530120482,0.3125
585,468800,65.0,0.14814814814814814,
590,472800,65.0,0.17901234567901234,
595,476800,65.0,0.18125,
600,480800,65.0,0.18125,
605,484800,65.0,0.16770186335403728,0.1875
610,488800,65.0,0.20121951219512196,
615,492800,65.0,0.18902439024390244,
620,496800,65.0,0.11585365853658537,
625,500800,65.0,0.16363636363636364,
630,504800,65.0,0.17391304347826086,0.28125
635,508800,65.0,0.19631901840490798,
640,512800,66.0,0.18902439024390244,
645,516800,66.0,0.19254658385093168,
650,520800,65.0,0.2389937106918239,
