update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,800,38.0,,
5,4800,41.0,0.0,0.0
10,8800,51.0,0.0,
15,12800,57.0,0.0,
20,16800,61.0,0.0,
25,20800,63.0,0.0,
30,24800,63.0,0.0,0.0
35,28800,65.0,0.0,
40,32800,66.0,0.0,
45,36800,67.0,0.0,
50,40800,67.0,0.0,
55,44800,66.0,0.0,0.0
60,48800,67.0,0.0,
65,52800,67.0,0.0,
70,56800,67.0,0.0,
75,60800,67.0,0.0,
80,64800,66.0,0.0,0.0
85,68800,66.0,0.0,
90,72800,66.0,0.0,
95,76800,66.0,0.0,
100,80800,66.0,0.0,
105,84800,66.0,0.0,0.0
110,88800,66.0,0.0,
115,92800,66.0,0.0,
120,96800,66.0,0.0,
125,100800,66.0,0.005555555555555556,
130,104800,65.0,0.0,0.03125
135,108800,65.0,0.0,
140,112800,65.0,0.0,
145,116800,65.0,0.0,
150,120800,65.0,0.0,
155,124800,65.0,0.0,0.0
160,128800,65.0,0.0,
165,132800,65.0,0.0,
170,136800,65.0,0.005649717514124294,
175,140800,66.0,0.0,
180,144800,65.0,0.0,0.0
185,148800,66.0,0.0,
190,152800,66.0,0.0,
195,156800,66.0,0.0,
200,160800,66.0,0.0,
205,164800,65.0,0.0,0.03125
210,168800,65.0,0.0,
215,172800,65.0,0.0,
220,176800,65.0,0.0,
225,180800,65.0,0.0,
230,184800,64.0,0.0,0.0
235,188800,64.0,0.0,
240,192800,64.0,0.0,
245,196800,65.0,0.0,
250,200800,65.0,0.0,
255,204800,64.0,0.0,0.0
260,208800,64.0,0.0,
265,212800,64.0,0.0,
270,216800,64.0,0.0,
275,220800,64.0,0.0,
280,224800,64.0,0.0,0.0
285,228800,64.0,0.0,
290,232800,64.0,0.0,
295,236800,64.0,0.0,
300,240800,64.0,0.0,
305,244800,64.0,0.005555555555555556,0.0
310,248800,64.0,0.0,
315,252800,64.0,0.0,
320,256800,64.0,0.0,
325,260800,63.0,0.0,
330,264800,63.0,0.0,0.0
335,268800,63.0,0.0,
340,272800,63.0,0.0,
345,276800,63.0,0.0,
350,280800,63.0,0.0,
355,284800,63.0,0.0,0.0
360,288800,63.0,0.0,
365,292800,63.0,0.0,
370,296800,63.0,0.0,
375,300800,63.0,0.005714285714285714,
380,304800,63.0,0.005780346820809248,0.0
385,308800,63.0,0.0,
390,312800,63.0,0.0,
395,316800,63.0,0.0056179775280898875,
400,320800,63.0,0.011363636363636364,
405,324800,63.0,0.0,0.0
410,328800,63.0,0.0,
415,332800,63.0,0.0,
420,336800,63.0,0.0,
425,340800,64.0,0.0,
430,344800,64.0,0.0,0.0
435,348800,64.0,0.005813953488372093,
440,352800,64.0,0.011494252873563218,
445,356800,64.0,0.005780346820809248,
450,360800,64.0,0.011428571428571429,
455,364800,64.0,0.0,0.0
460,368800,64.0,0.011560693641618497,
465,372800,64.0,0.0,
470,376800,65.0,0.005780346820809248,
475,380800,65.0,0.0,
480,384800,65.0,0.0,0.0
485,388800,65.0,0.0,
490,392800,65.0,0.005780346820809248,
495,396800,65.0,0.0,
500,400800,65.0,0.0,
505,404800,65.0,0.005813953488372093,0.03125
510,408800,65.0,0.0,
515,412800,65.0,0.005649717514124294,
520,416800,65.0,0.0,
525,420800,66.0,0.0,
530,424800,66.0,0.0,0.0
535,428800,66.0,0.0,
540,432800,66.0,0.0,
545,436800,66.0,0.0,
550,440800,66.0,0.0,
555,444800,66.0,0.0,0.0
560,448800,66.0,0.011494252873563218,
565,452800,66.0,0.017045454545454544,
570,456800,67.0,0.005714285714285714,
575,460800,67.0,0.005714285714285714,
580,464800,67.0,0.011560693641618497,0.0625
585,468800,67.0,0.005681818181818182,
590,472800,67.0,0.0056179775280898875,
595,476800,67.0,0.00558659217877095,
600,480800,67.0,0.011235955056179775,
605,484800,67.0,0.011363636363636364,0.03125
610,488800,68.0,0.02857142857142857,
615,492800,68.0,0.01744186046511628,
620,496800,68.0,0.0,
625,500800,68.0,0.011428571428571429,
630,504800,68.0,0.005681818181818182,0.03125
635,508800,68.0,0.011560693641618497,
640,512800,68.0,0.0,
645,516800,69.0,0.0,
650,520800,68.0,0.017543859649122806,
655,524800,68.0,0.005917159763313609,0.03125
660,528800,68.0,0.005780346820809248,
665,532800,69.0,0.011627906976744186,
670,536800,69.0,0.017142857142857144,
675,540800,69.0,0.0,
680,544800,69.0,0.005780346820809248,0.0
685,548800,69.0,0.0,
690,552800,69.0,0.005747126436781609,
695,556800,69.0,0.011976047904191617,
700,560800,69.0,0.005747126436781609,
705,564800,70.0,0.011428571428571429,0.0
710,568800,70.0,0.0,
715,572800,70.0,0.005813953488372093,
720,576800,70.0,0.005714285714285714,
725,580800,70.0,0.005780346820809248,
730,584800,70.0,0.0,0.0
735,588800,70.0,0.0,
740,592800,70.0,0.0,
745,596800,70.0,0.011627906976744186,
750,600800,71.0,0.0,
755,604800,71.0,0.0058823529411764705,0.09375
760,608800,71.0,0.017241379310344827,
765,612800,71.0,0.0058823529411764705,
770,616800,71.0,0.0,
775,620800,71.0,0.0,
780,624800,71.0,0.011764705882352941,0.03125
785,628800,71.0,0.006097560975609756,
790,632800,71.0,0.005813953488372093,
795,636800,71.0,0.005780346820809248,
800,640800,72.0,0.011764705882352941,
805,644800,72.0,0.005813953488372093,0.0
810,648800,72.0,0.0058823529411764705,
815,652800,72.0,0.0,
820,656800,72.0,0.006289308176100629,
825,660800,72.0,0.018292682926829267,
830,664800,72.0,0.011904761904761904,0.0
835,668800,72.0,0.011695906432748537,
840,672800,72.0,0.024242424242424242,
845,676800,72.0,0.0,
850,680800,72.0,0.01764705882352941,
855,684800,72.0,0.011976047904191617,0.03125
860,688800,72.0,0.011976047904191617,
865,692800,73.0,0.03636363636363636,
870,696800,73.0,0.030120481927710843,
875,700800,73.0,0.029411764705882353,
880,704800,73.0,0.03680981595092025,0.0
885,708800,73.0,0.023668639053254437,
890,712800,73.0,0.011764705882352941,
895,716800,73.0,0.04819277108433735,
900,720800,73.0,0.012048192771084338,
905,724800,73.0,0.005847953216374269,0.0
910,728800,73.0,0.023529411764705882,
915,732800,73.0,0.005847953216374269,
920,736800,73.0,0.023255813953488372,
925,740800,73.0,0.011695906432748537,
