version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,70,0.2879,1.4224,5,0.5617,0.3999,0.008,1.5144
3,80,0.3157,1.5722,5,1.2868,0.3828,0.0069,0.7385
3,90,0.3195,1.606,5,1.7861,0.3708,0.0058,0.598
3,100,0.3131,1.6092,5,1.6197,0.3602,0.0054,0.4455
3,110,0.311,1.6148,5,1.5132,0.3469,0.0046,0.3805
3,120,0.3134,1.6489,5,1.6773,0.3373,0.0043,0.3684
3,130,0.2687,1.4475,5,1.537,0.3348,0.0043,0.242
3,140,0.3012,1.6679,5,1.7413,0.3182,0.0043,0.2427
3,150,0.3226,1.7842,5,1.7356,0.3077,0.0039,0.2078
3,160,0.3283,1.854,5,1.9134,0.283,0.0038,0.2093
3,170,0.3374,1.9371,5,1.9054,0.261,0.0031,0.2436
3,180,0.3478,2.0477,5,2.0249,0.2519,0.0032,0.2128
3,190,0.3437,2.058,5,2.0782,0.2264,0.0037,0.1868
3,200,0.3484,2.1151,5,2.12,0.2141,0.0037,0.2713
3,210,0.3456,2.1364,5,2.1075,0.1849,0.0034,0.2058
3,220,0.3437,2.1684,5,2.1185,0.1605,0.0032,0.1815
3,230,0.3526,2.2525,5,2.2841,0.1269,0.0029,0.1932
3,240,0.3409,2.2128,5,2.2028,0.1098,0.0031,0.2547
3,250,0.3466,2.2673,5,2.2187,0.0828,0.0032,0.2358
3,260,0.351,2.3319,5,2.3388,0.06,0.0039,0.2459
3,270,0.3489,2.3488,5,2.3337,0.0443,0.0043,0.2786
3,280,0.3398,2.3565,5,2.3826,0.0374,0.005,0.2318
3,290,0.325,2.3096,5,2.322,0.0381,0.0052,0.1941
3,300,0.347,2.4996,5,2.4457,0.0404,0.0054,0.1767
3,310,0.3626,2.618,5,2.5894,0.0409,0.0055,0.2473
3,320,0.3564,2.6131,5,2.6698,0.035,0.0043,0.2985
3,330,0.3623,2.7327,5,2.7017,0.0271,0.0046,0.1953
