update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,52.0,,
5,9600,43.0,0.0,0.0625
10,17600,50.0,0.020202020202020204,
15,25600,53.0,0.03608247422680412,
20,33600,55.0,0.0,
25,41600,57.0,0.014705882352941176,
30,49600,55.0,0.015625,0.0625
35,57600,56.0,0.026737967914438502,
40,65600,56.0,0.023255813953488372,
45,73600,56.0,0.0,
50,81600,56.0,0.0041841004184100415,
55,89600,55.0,0.0,0.0
60,97600,55.0,0.00423728813559322,
65,105600,55.0,0.0,
70,113600,56.0,0.0,
75,121600,56.0,0.0,
80,129600,55.0,0.02358490566037736,0.0
85,137600,55.0,0.004545454545454545,
90,145600,55.0,0.0,
95,153600,55.0,0.0,
100,161600,55.0,0.0,
105,169600,54.0,0.0091324200913242,0.0
110,177600,54.0,0.0045045045045045045,
115,185600,53.0,0.008849557522123894,
120,193600,53.0,0.0,
125,201600,54.0,0.004672897196261682,
130,209600,53.0,0.0045662100456621,0.03125
135,217600,53.0,0.014084507042253521,
140,225600,53.0,0.009433962264150943,
145,233600,53.0,0.0,
150,241600,53.0,0.004545454545454545,
155,249600,53.0,0.0,0.03125
160,257600,54.0,0.004629629629629629,
