version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,40,0.27,4.315,5,4.7874,0.0022,0.003,0.9085
3,50,0.2702,4.3568,5,4.4526,0.0017,0.0027,0.6315
3,60,0.2714,4.3961,5,4.3905,0.0011,0.0026,0.4248
3,70,0.2731,4.3546,5,4.5363,0.0016,0.0026,0.6836
3,80,0.2572,4.1634,5,4.2457,0.0013,0.0028,0.5333
3,90,0.2757,4.3805,5,4.2882,0.0013,0.0028,0.4886
3,100,0.2736,4.3699,5,4.4133,0.0013,0.0031,0.4992
3,110,0.2751,4.4599,5,4.5162,0.001,0.0026,0.4279
3,120,0.2689,4.3507,5,4.2557,0.0013,0.0025,0.4898
3,130,0.2632,4.2692,5,4.2733,0.0011,0.0029,0.5454
3,140,0.2637,4.3008,5,4.26,0.0012,0.0027,0.5658
3,150,0.264,4.341,5,4.4158,0.0012,0.0029,0.5587
3,160,0.2607,4.3127,5,4.3675,0.0012,0.0027,0.5572
