update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,54.0,,
5,9600,36.0,0.0,0.0625
10,17600,45.0,0.020833333333333332,
15,25600,50.0,0.005208333333333333,
20,33600,52.0,0.01015228426395939,
25,41600,54.0,0.0,
30,49600,53.0,0.03260869565217391,0.0
35,57600,54.0,0.014925373134328358,
40,65600,54.0,0.02358490566037736,
45,73600,54.0,0.014084507042253521,
50,81600,54.0,0.009174311926605505,
55,89600,53.0,0.013392857142857142,0.0
60,97600,54.0,0.0,
65,105600,54.0,0.0045871559633027525,
70,113600,54.0,0.0091324200913242,
75,121600,54.0,0.009174311926605505,
80,129600,53.0,0.022727272727272728,0.0
85,137600,53.0,0.0,
90,145600,53.0,0.0044444444444444444,
95,153600,53.0,0.004405286343612335,
100,161600,52.0,0.0,
105,169600,51.0,0.0044444444444444444,0.0
110,177600,51.0,0.0,
115,185600,51.0,0.008849557522123894,
120,193600,51.0,0.0043859649122807015,
125,201600,51.0,0.0,
130,209600,51.0,0.0,0.0
135,217600,51.0,0.013333333333333334,
140,225600,51.0,0.004405286343612335,
145,233600,51.0,0.0045045045045045045,
150,241600,51.0,0.00909090909090909,
155,249600,51.0,0.013636363636363636,0.0
160,257600,51.0,0.0045871559633027525,
165,265600,50.0,0.027149321266968326,
170,273600,50.0,0.028037383177570093,
175,281600,50.0,0.014018691588785047,
180,289600,50.0,0.004651162790697674,0.09375
185,297600,50.0,0.004672897196261682,
190,305600,50.0,0.004672897196261682,
195,313600,50.0,0.0045871559633027525,
200,321600,50.0,0.0,
205,329600,49.0,0.0091324200913242,0.03125
210,337600,49.0,0.0,
215,345600,49.0,0.0,
220,353600,49.0,0.004784688995215311,
225,361600,49.0,0.018604651162790697,
230,369600,49.0,0.004629629629629629,0.0
235,377600,49.0,0.004524886877828055,
240,385600,49.0,0.00909090909090909,
245,393600,49.0,0.0,
250,401600,49.0,0.009174311926605505,
255,409600,49.0,0.0182648401826484,0.0625
260,417600,49.0,0.013888888888888888,
265,425600,49.0,0.004784688995215311,
270,433600,49.0,0.01485148514851485,
275,441600,49.0,0.02403846153846154,
280,449600,49.0,0.024390243902439025,0.03125
285,457600,49.0,0.03,
290,465600,50.0,0.028846153846153848,
295,473600,50.0,0.014354066985645933,
300,481600,50.0,0.0091324200913242,
305,489600,50.0,0.00904977375565611,0.0
310,497600,50.0,0.004629629629629629,
315,505600,50.0,0.009302325581395349,
320,513600,50.0,0.0045871559633027525,
325,521600,50.0,0.004608294930875576,
330,529600,49.0,0.00909090909090909,0.0
335,537600,49.0,0.0045045045045045045,
340,545600,49.0,0.0,
345,553600,49.0,0.008620689655172414,
350,561600,50.0,0.004291845493562232,
355,569600,50.0,0.0,0.0
360,577600,50.0,0.004291845493562232,
365,585600,50.0,0.0043859649122807015,
370,593600,50.0,0.0043859649122807015,
375,601600,50.0,0.004329004329004329,
380,609600,50.0,0.00847457627118644,0.0
385,617600,50.0,0.0,
390,625600,50.0,0.008849557522123894,
395,633600,50.0,0.009174311926605505,
400,641600,50.0,0.0091324200913242,
405,649600,50.0,0.008658008658008658,0.0
410,657600,50.0,0.004347826086956522,
415,665600,50.0,0.0091324200913242,
420,673600,50.0,0.00904977375565611,
425,681600,50.0,0.004464285714285714,
430,689600,50.0,0.008888888888888889,0.0
435,697600,50.0,0.008849557522123894,
