version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,40,0.2697,4.3301,5,4.7961,0.002,0.0028,1.0027
3,50,0.2697,4.4008,5,4.5389,0.0016,0.0028,0.7022
3,60,0.272,4.4063,5,4.5675,0.0013,0.0029,0.7778
3,70,0.2834,4.5014,5,4.4384,0.0014,0.0025,0.4898
3,80,0.2682,4.4037,5,4.4591,0.0012,0.0027,0.4974
3,90,0.2699,4.3979,5,4.4033,0.0013,0.0026,0.4474
3,100,0.2778,4.5263,5,4.5171,0.0013,0.003,0.4522
3,110,0.2712,4.4652,5,4.4884,0.0013,0.0025,0.4988
3,120,0.2723,4.4126,5,4.4228,0.0013,0.0029,0.368
3,130,0.2751,4.4087,5,4.2598,0.0011,0.0028,0.509
3,140,0.2726,4.4242,5,4.4471,0.0012,0.0029,0.4648
3,150,0.2626,4.3122,5,4.3961,0.0013,0.0028,0.7826
3,160,0.2742,4.3824,5,4.3664,0.0013,0.0029,0.5485
3,170,0.256,4.3027,5,4.3875,0.0014,0.003,0.628
3,180,0.2658,4.3544,5,4.4168,0.0013,0.0031,0.5542
3,190,0.2681,4.4426,5,4.4137,0.0012,0.0029,0.7163
3,200,0.2605,4.3281,5,4.3671,0.0011,0.0027,0.3347
3,210,0.2582,4.2844,5,4.3414,0.0012,0.0027,0.4767
3,220,0.2691,4.4133,5,4.3992,0.0011,0.0027,0.5279
3,230,0.2802,4.4944,5,4.3857,0.001,0.0028,0.7434
3,240,0.2665,4.4267,5,4.4123,0.0012,0.0029,0.4229
3,250,0.2747,4.4492,5,4.4646,0.0012,0.0029,0.5085
3,260,0.2581,4.2043,5,4.149,0.0013,0.0028,0.5456
3,270,0.2647,4.3445,5,4.3278,0.001,0.0028,0.3411
3,280,0.2652,4.2341,5,4.159,0.0014,0.0028,0.4438
3,290,0.2633,4.3682,5,4.4031,0.0012,0.0028,0.3543
3,300,0.2639,4.4079,5,4.4817,0.0011,0.0027,0.4067
3,310,0.2669,4.4397,5,4.4305,0.0013,0.0028,0.7736
3,320,0.265,4.3991,5,4.4985,0.0014,0.0029,0.945
3,330,0.2773,4.461,5,4.5587,0.0011,0.0028,0.6328
3,340,0.2767,4.4852,5,4.5338,0.0011,0.0028,0.7186
3,350,0.2747,4.4364,5,4.4949,0.0012,0.0029,0.7576
3,360,0.2829,4.5518,5,4.5201,0.0011,0.003,0.5014
3,370,0.268,4.4757,5,4.5701,0.0011,0.0028,0.5772
3,380,0.2705,4.4036,5,4.4287,0.0011,0.0029,0.3235
3,390,0.2802,4.5013,5,4.5165,0.0012,0.003,0.3912
3,400,0.2674,4.4037,5,4.4955,0.0012,0.0028,0.5411
3,410,0.2747,4.4655,5,4.5122,0.0011,0.0031,0.5249
3,420,0.2712,4.4662,5,4.4881,0.0011,0.0027,0.4622
3,430,0.2796,4.4971,5,4.4231,0.0012,0.003,0.6696
3,440,0.2709,4.4302,5,4.4349,0.0012,0.0029,0.3502
3,450,0.2568,4.3654,5,4.4532,0.0012,0.0028,0.5764
3,460,0.2787,4.5331,5,4.5329,0.0012,0.003,0.3987
3,470,0.2796,4.5991,5,4.6398,0.0012,0.0031,0.538
3,480,0.2775,4.4455,5,4.3698,0.0012,0.0031,0.4009
3,490,0.2687,4.4166,5,4.3852,0.0014,0.0032,0.4744
3,500,0.2752,4.4446,5,4.4201,0.0012,0.0029,0.3589
3,510,0.26,4.2303,5,4.2188,0.0013,0.0028,0.5063
3,520,0.2767,4.4791,5,4.5561,0.0011,0.003,0.8134
3,530,0.2734,4.391,5,4.406,0.0011,0.003,0.3199
3,540,0.259,4.1775,5,4.1315,0.0013,0.0029,0.3588
3,550,0.2682,4.4006,5,4.3837,0.0013,0.0031,0.7646
3,560,0.2368,3.8837,5,3.8888,0.0015,0.0028,0.985
3,570,0.2681,4.373,5,4.5117,0.0012,0.003,0.6726
3,580,0.2592,4.2557,5,4.3412,0.0014,0.0028,0.5411
3,590,0.2761,4.587,5,4.6247,0.0013,0.0031,0.6832
3,600,0.2694,4.3503,5,4.3792,0.0012,0.003,0.7667
3,610,0.2487,4.1138,5,4.1358,0.0014,0.003,0.5451
3,620,0.2419,4.063,5,4.1096,0.0016,0.003,0.5102
3,630,0.2391,4.0759,5,4.1184,0.0013,0.0029,0.3257
3,640,0.2707,4.4256,5,4.3662,0.0013,0.0033,0.6659
3,650,0.2606,4.1288,5,3.9696,0.0015,0.0033,0.4286
3,660,0.2572,4.2722,5,4.2449,0.0015,0.0035,0.6076
3,670,0.2639,4.3329,5,4.2488,0.0016,0.0031,0.9075
3,680,0.2793,4.5529,5,4.4062,0.0015,0.0039,0.7886
3,690,0.2515,4.1339,5,4.0704,0.0016,0.0032,0.5107
3,700,0.2321,3.9518,5,4.0198,0.0015,0.0035,0.9546
3,710,0.2675,4.3654,5,4.3236,0.0015,0.0033,0.3893
3,720,0.2522,4.246,5,4.337,0.0013,0.0032,0.3368
3,730,0.2671,4.3876,5,4.4214,0.0015,0.0033,0.4423
3,740,0.1956,3.3532,5,3.3939,0.0018,0.0028,0.6317
3,750,0.2336,3.9327,5,3.9414,0.0015,0.0028,0.3768
3,760,0.2392,3.9707,5,3.9215,0.0014,0.003,0.3992
3,770,0.2259,3.8062,5,3.7682,0.0014,0.0029,0.5308
3,780,0.2795,4.5303,5,4.3697,0.0015,0.0038,0.7428
3,790,0.23,3.8233,5,3.8133,0.0014,0.0032,0.5999
3,800,0.2506,4.1584,5,4.0987,0.0015,0.0033,0.5723
3,810,0.2775,4.6279,5,4.5843,0.0015,0.0034,0.4932
3,820,0.2548,4.3132,5,4.3632,0.0015,0.0034,0.4413
3,830,0.2787,4.6299,5,4.7184,0.0013,0.0035,0.4244
3,840,0.2812,4.6811,5,4.7123,0.0014,0.0035,0.5898
3,850,0.2733,4.5721,5,4.5164,0.0011,0.0037,0.6288
3,860,0.2729,4.6993,5,4.7494,0.0012,0.0036,0.3471
3,870,0.2896,4.7977,5,4.7995,0.0012,0.0036,0.5072
3,880,0.2613,4.4363,5,4.5004,0.0014,0.0035,0.6499
3,890,0.2748,4.6476,5,4.7577,0.0012,0.0035,0.6076
3,900,0.2774,4.6637,5,4.6917,0.0013,0.0034,0.5724
3,910,0.2721,4.5479,5,4.496,0.0015,0.0035,0.6998
3,920,0.2692,4.6053,5,4.661,0.0014,0.0033,0.9624
3,930,0.2672,4.5195,5,4.6382,0.0014,0.0037,0.4948
3,940,0.2771,4.5985,5,4.6267,0.0013,0.0038,0.7089
3,950,0.24,4.0265,5,4.0467,0.0015,0.0033,0.5161
3,960,0.2316,3.9668,5,4.0037,0.0014,0.0029,0.6206
3,970,0.2819,4.5537,5,4.5597,0.0016,0.0038,0.6363
3,980,0.2289,3.9465,5,4.007,0.0021,0.003,0.4041
3,990,0.2136,3.5803,5,3.6224,0.0017,0.0031,0.32
3,1000,0.2752,4.4759,5,4.563,0.0018,0.0036,0.6527
3,1010,0.204,3.4625,5,3.4936,0.0019,0.0028,0.7244
3,1020,0.2507,4.0928,5,4.1311,0.0015,0.0031,0.5276
3,1030,0.2467,4.0904,5,4.1935,0.0016,0.0036,0.7418
3,1040,0.2649,4.3973,5,4.4604,0.0016,0.0037,0.758
3,1050,0.2783,4.5983,5,4.5781,0.0017,0.0037,0.4182
3,1060,0.2892,4.6391,5,4.7038,0.0014,0.0035,0.8465
3,1070,0.2627,4.3646,5,4.4302,0.0017,0.0039,0.4656
3,1080,0.2877,4.8119,5,4.7058,0.0014,0.004,0.5728
3,1090,0.2649,4.4329,5,4.4191,0.0015,0.004,0.5286
3,1100,0.2711,4.4319,5,4.3606,0.0016,0.0035,0.7064
3,1110,0.2586,4.3704,5,4.4776,0.0018,0.0039,0.6181
3,1120,0.2683,4.4531,5,4.4637,0.0014,0.0037,0.7919
3,1130,0.2799,4.6909,5,4.6642,0.0017,0.004,0.5526
3,1140,0.277,4.5496,5,4.5413,0.0017,0.0067,1.0917
3,1150,0.2701,4.5113,5,4.452,0.0017,0.0038,0.6958
3,1160,0.2748,4.6171,5,4.6837,0.0016,0.0044,0.511
