version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,40,0.03,0.2296,5,0.1837,0.6703,0.0064,0.0448
3,50,0.052,0.3441,5,0.3579,0.65,0.002,0.0796
3,60,0.0572,0.3739,5,0.3466,0.6356,0.0015,0.0704
3,70,0.0723,0.463,5,0.4552,0.6157,0.0018,0.0728
3,80,0.0413,0.3096,5,0.3152,0.603,0.0009,0.0376
3,90,0.0683,0.4564,5,0.4255,0.583,0.0014,0.0593
3,100,0.0628,0.433,5,0.4603,0.5626,0.0011,0.0417
3,110,0.0633,0.448,5,0.4519,0.542,0.0011,0.0432
3,120,0.0802,0.5385,5,0.5386,0.5218,0.0012,0.0436
3,130,0.0576,0.4237,5,0.4611,0.5013,0.0009,0.0316
3,140,0.118,0.7777,5,0.8026,0.4611,0.0017,0.0651
3,150,0.0943,0.653,5,0.6479,0.4412,0.0013,0.0478
3,160,0.106,0.7161,5,0.7015,0.4058,0.0012,0.0491
3,170,0.092,0.6438,5,0.6329,0.3797,0.0011,0.0521
3,180,0.1,0.7007,5,0.6848,0.3342,0.0009,0.0564
3,190,0.0702,0.5327,5,0.5263,0.2991,0.0007,0.0345
3,200,0.1132,0.7999,5,0.7855,0.227,0.001,0.0446
3,210,0.1102,0.7894,5,0.808,0.1652,0.0009,0.0597
3,220,0.1069,0.7856,5,0.7719,0.0998,0.0008,0.0495
3,230,0.1209,0.8886,5,0.8349,0.0258,0.001,0.0621
3,240,0.1118,0.8249,5,0.7718,-0.0346,0.0011,0.0675
3,250,0.0831,0.6607,5,0.6958,-0.0913,0.0011,0.0616
3,260,0.0572,0.4949,5,0.5013,-0.1284,0.001,0.0328
3,270,0.0736,0.62,5,0.638,-0.2067,0.0017,0.0462
3,280,0.1033,0.8425,5,0.8481,-0.256,0.0027,0.0428
3,290,0.0712,0.6209,5,0.6132,-0.2905,0.0017,0.0372
3,300,0.0918,0.7877,5,0.794,-0.3377,0.0023,0.0653
3,310,0.0773,0.696,5,0.7345,-0.3961,0.0019,0.0474
3,320,0.0703,0.6307,5,0.6157,-0.4442,0.0015,0.046
3,330,0.071,0.6585,5,0.7231,-0.5017,0.0016,0.0774
3,340,0.0979,0.8632,5,0.8578,-0.5631,0.0022,0.0526
3,350,0.0794,0.7414,5,0.7397,-0.603,0.0017,0.0522
3,360,0.1441,1.2593,5,1.2416,-0.7017,0.0033,0.1093
3,370,0.0983,0.9192,5,0.9297,-0.7398,0.002,0.0555
3,380,0.1008,0.9247,5,0.9061,-0.8054,0.0022,0.0716
3,390,0.0706,0.7083,5,0.682,-0.8676,0.0015,0.0535
3,400,0.0933,0.8952,5,0.8974,-0.962,0.0021,0.0858
3,410,0.0796,0.8097,5,0.8754,-1.0605,0.0019,0.0618
3,420,0.0537,0.5961,5,0.6343,-1.1528,0.0012,0.0553
3,430,0.0899,0.8992,5,0.8949,-1.2983,0.0021,0.0537
3,440,0.0698,0.7046,5,0.674,-1.4042,0.0013,0.0563
3,450,0.0735,0.744,5,0.7502,-1.5557,0.0015,0.0593
3,460,0.0829,0.8803,5,0.9485,-1.7366,0.0019,0.0867
3,470,0.1045,1.0688,5,1.0736,-1.9125,0.0022,0.0609
3,480,0.0674,0.7288,5,0.7411,-2.0291,0.0015,0.0771
3,490,0.0742,0.8237,5,0.8066,-2.1471,0.0018,0.0742
3,500,0.0803,0.9075,5,0.9345,-2.2503,0.002,0.0635
3,510,0.0598,0.7112,5,0.7411,-2.3316,0.0016,0.0703
3,520,0.0734,0.8496,5,0.837,-2.3932,0.0018,0.074
3,530,0.0759,0.8889,5,0.8663,-2.4431,0.0018,0.0543
3,540,0.0608,0.747,5,0.7712,-2.4777,0.0016,0.0824
3,550,0.0632,0.7546,5,0.7524,-2.4918,0.0014,0.094
3,560,0.0828,1.0124,5,1.0286,-2.4914,0.0022,0.0814
3,570,0.076,0.928,5,0.9042,-2.4914,0.0019,0.1084
3,580,0.082,1.025,5,1.0619,-2.4927,0.0022,0.0936
3,590,0.0901,1.0758,5,1.0979,-2.4957,0.0023,0.0761
3,600,0.0937,1.1137,5,1.1056,-2.496,0.0024,0.0688
3,610,0.1132,1.3329,5,1.2647,-2.4956,0.003,0.1241
3,620,0.0889,1.1043,5,1.0731,-2.4954,0.0026,0.105
3,630,0.0849,1.056,5,1.0504,-2.4966,0.0022,0.0809
3,640,0.0931,1.1523,5,1.1055,-2.4969,0.0027,0.1231
3,650,0.0619,0.8344,5,0.8655,-2.497,0.0019,0.109
3,660,0.0809,1.0422,5,1.0858,-2.4967,0.0024,0.0788
3,670,0.0597,0.8126,5,0.8412,-2.497,0.0019,0.0972
3,680,0.058,0.7611,5,0.759,-2.4975,0.0016,0.1002
