version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,40,0.0491,0.3242,5,0.2136,0.6928,0.0062,0.0958
3,50,0.0525,0.348,5,0.3581,0.6732,0.0021,0.0734
3,60,0.0535,0.3574,5,0.3336,0.6628,0.0019,0.0703
3,70,0.0645,0.4187,5,0.3816,0.6474,0.0017,0.0842
3,80,0.0881,0.5487,5,0.5022,0.6313,0.0018,0.0935
3,90,0.1004,0.6196,5,0.5771,0.615,0.0018,0.0694
3,100,0.0908,0.5734,5,0.5456,0.6012,0.0014,0.0587
3,110,0.0893,0.5756,5,0.5459,0.5852,0.0013,0.0455
3,120,0.1017,0.6466,5,0.6806,0.5698,0.0014,0.0567
3,130,0.0995,0.6515,5,0.6339,0.5525,0.0014,0.0489
3,140,0.0929,0.6214,5,0.592,0.533,0.0011,0.0488
3,150,0.1094,0.7195,5,0.7139,0.5073,0.0014,0.0586
3,160,0.0867,0.6028,5,0.6158,0.4898,0.0011,0.0431
3,170,0.0668,0.4979,5,0.4911,0.4682,0.0008,0.0313
3,180,0.0643,0.4807,5,0.4748,0.4372,0.0006,0.0336
3,190,0.0703,0.523,5,0.5196,0.4075,0.0007,0.034
3,200,0.0786,0.5981,5,0.6031,0.3615,0.0007,0.0392
3,210,0.0834,0.6396,5,0.6517,0.3173,0.0008,0.0526
3,220,0.0992,0.7386,5,0.7309,0.2701,0.0009,0.0583
3,230,0.0727,0.5814,5,0.6068,0.2377,0.0007,0.0432
3,240,0.1066,0.8122,5,0.8534,0.1829,0.0012,0.0622
3,250,0.075,0.6123,5,0.6318,0.1702,0.0011,0.0399
3,260,0.0861,0.6979,5,0.7075,0.142,0.0017,0.0477
3,270,0.0946,0.761,5,0.7613,0.1237,0.0022,0.0529
3,280,0.1,0.8313,5,0.8656,0.1108,0.0025,0.0769
3,290,0.0672,0.5746,5,0.5527,0.079,0.0013,0.0355
3,300,0.0917,0.77,5,0.7602,0.0684,0.0021,0.077
3,310,0.0915,0.7876,5,0.7739,0.0506,0.0017,0.056
3,320,0.128,1.0628,5,1.036,0.0404,0.0026,0.0733
3,330,0.1054,0.9101,5,0.9272,0.0261,0.0021,0.0752
3,340,0.0901,0.7867,5,0.7647,0.0166,0.0016,0.0536
3,350,0.1134,1.0064,5,0.9486,0.0126,0.0022,0.0919
3,360,0.0625,0.6068,5,0.573,0.0082,0.001,0.0453
3,370,0.1175,1.0764,5,1.0522,0.0071,0.0022,0.0784
3,380,0.0959,0.8993,5,0.9571,0.0062,0.0016,0.0775
3,390,0.08,0.7711,5,0.7767,0.0044,0.0013,0.0478
3,400,0.081,0.7889,5,0.774,0.0041,0.0013,0.0509
3,410,0.1143,1.1178,5,1.1121,0.004,0.0019,0.0659
3,420,0.0978,0.9603,5,0.9709,0.0034,0.0018,0.0686
3,430,0.0662,0.6893,5,0.699,0.0033,0.001,0.0461
3,440,0.0808,0.8335,5,0.8346,0.0035,0.0013,0.0515
3,450,0.0712,0.75,5,0.7088,0.0031,0.0013,0.0649
3,460,0.0802,0.8354,5,0.8356,0.0032,0.0013,0.0756
3,470,0.0708,0.7809,5,0.8224,0.0031,0.0015,0.076
3,480,0.0623,0.6921,5,0.7008,0.0028,0.001,0.0599
3,490,0.0897,0.9656,5,0.9782,0.0031,0.0018,0.0981
3,500,0.0761,0.8445,5,0.852,0.0028,0.0013,0.0475
3,510,0.0728,0.7877,5,0.7455,0.0027,0.0012,0.0478
3,520,0.0656,0.7522,5,0.7569,0.0025,0.0012,0.0762
3,530,0.084,0.9301,5,0.9167,0.0025,0.0016,0.067
3,540,0.0745,0.8627,5,0.8657,0.0026,0.0016,0.0623
3,550,0.0582,0.6819,5,0.7016,0.0025,0.0011,0.0405
3,560,0.1613,1.7184,5,1.7392,0.0022,0.0038,0.1032
